Prefecture,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Aichi,Ichinomiya,2015-06-01,10.04,33.18,10.85,26.02,23.9,6.34,0.75,5.71,57.05,1.18,2.23,1.58,42,Good,7.1,77.4,0.045,2.67,47.27,1454.4
Aichi,Ichinomiya,2015-07-01,11.66,17.58,7.75,20.97,31.56,7.15,0.73,6.88,50.6,1.87,4.16,1.24,49,Good,5.7,85.4,0.059,2.6,47.38,1456.7
Aichi,Ichinomiya,2015-08-01,10.98,33.52,19.44,10.88,21.43,2.27,0.41,4.07,28.55,1.09,2.12,0.45,46,Good,4.5,81.1,0.061,2.61,47.34,1460.3
Aichi,Ichinomiya,2015-09-01,14.49,17.02,15.52,11.69,22.09,5.89,0.56,4.39,36.21,1.33,6.53,0.81,54,Moderate,6.7,73.0,0.053,2.21,47.54,1461.9
Aichi,Ichinomiya,2015-10-01,19.21,22.75,14.13,33.33,14.26,3.31,0.63,10.29,24.18,1.46,7.4,2.16,65,Moderate,7.7,71.4,0.047,2.47,47.52,1453.5
Aichi,Ichinomiya,2015-11-01,24.47,34.52,24.72,41.56,13.53,4.44,0.64,11.94,44.07,0.74,10.39,0.37,77,Moderate,9.6,56.8,0.047,2.63,46.89,1456.6
Aichi,Ichinomiya,2015-12-01,19.68,37.42,26.17,50.99,29.64,7.49,0.42,6.07,40.44,1.04,10.64,3.37,66,Moderate,9.2,50.6,0.075,2.43,48.13,1453.0
Aichi,Ichinomiya,2016-01-01,43.91,49.29,38.09,49.07,48.92,5.59,0.55,4.88,44.52,2.97,8.56,2.31,121,Unhealthy for Sensitive Groups,10.9,49.1,0.044,3.11,47.94,1452.8
Aichi,Ichinomiya,2016-02-01,38.46,54.61,35.46,29.71,19.56,8.73,1.14,13.11,65.27,1.74,5.32,1.57,107,Unhealthy for Sensitive Groups,5.1,58.6,0.052,3.06,48.01,1459.7
Aichi,Ichinomiya,2016-03-01,35.46,63.52,25.17,36.09,42.55,10.12,0.99,9.56,54.43,2.62,6.79,2.13,100,Moderate,13.8,50.2,0.052,2.42,47.3,1451.1
Aichi,Ichinomiya,2016-04-01,20.73,26.55,26.53,32.33,32.77,6.65,0.71,9.74,41.58,1.16,9.03,2.37,68,Moderate,5.7,77.4,0.052,2.8,47.78,1453.2
Aichi,Ichinomiya,2016-05-01,16.22,39.52,15.87,27.88,12.21,3.45,0.69,9.68,54.09,1.7,7.56,1.49,58,Moderate,9.6,57.9,0.044,2.03,47.47,1452.3
Aichi,Ichinomiya,2016-06-01,15.3,35.35,16.48,26.74,21.02,2.5,0.3,6.4,51.82,1.82,5.35,0.69,56,Moderate,4.1,70.3,0.048,2.87,46.56,1452.2
Aichi,Ichinomiya,2016-07-01,7.78,22.39,7.09,23.2,8.3,4.63,0.3,1.04,33.13,0.41,4.1,0.61,32,Good,3.3,87.7,0.063,3.29,47.02,1455.3
Aichi,Ichinomiya,2016-08-01,21.56,20.47,17.48,13.7,18.13,5.65,0.65,2.75,55.39,0.71,6.01,1.05,70,Moderate,9.0,85.3,0.058,2.69,47.97,1453.2
Aichi,Ichinomiya,2016-09-01,19.71,35.94,21.29,14.98,24.58,8.4,0.43,6.88,45.75,2.3,4.93,1.82,66,Moderate,4.9,71.5,0.07,2.87,47.06,1453.9
Aichi,Ichinomiya,2016-10-01,30.61,48.34,14.43,21.34,29.13,7.0,0.91,6.22,63.67,1.19,8.3,0.83,90,Moderate,7.8,71.1,0.058,2.98,47.43,1463.0
Aichi,Ichinomiya,2016-11-01,22.77,51.31,19.03,19.0,24.66,10.05,1.03,9.57,55.11,1.12,9.64,2.03,73,Moderate,8.4,53.2,0.055,2.39,46.23,1451.6
Aichi,Ichinomiya,2016-12-01,24.65,41.09,36.63,34.91,29.59,10.74,1.57,9.84,66.9,3.64,11.27,1.4,77,Moderate,5.5,64.2,0.054,2.67,47.35,1453.5
Aichi,Ichinomiya,2017-01-01,41.42,42.77,31.81,34.53,34.11,11.79,0.68,7.59,65.37,1.77,11.45,0.76,115,Unhealthy for Sensitive Groups,5.4,53.7,0.04,2.84,47.65,1450.5
Aichi,Ichinomiya,2017-02-01,16.64,64.48,15.36,41.66,40.69,8.31,1.42,7.45,35.88,1.2,11.08,1.85,59,Moderate,5.9,51.0,0.047,2.38,47.79,1449.3
Aichi,Ichinomiya,2017-03-01,18.2,34.39,33.95,21.65,32.54,9.43,1.17,10.43,61.2,3.27,9.47,0.26,63,Moderate,13.4,58.2,0.049,2.5,46.65,1452.5
Aichi,Ichinomiya,2017-04-01,29.9,29.81,26.87,16.51,34.31,11.55,1.16,8.03,30.51,1.12,9.15,1.43,89,Moderate,9.4,70.5,0.058,2.6,46.99,1446.1
Aichi,Ichinomiya,2017-05-01,31.24,36.33,24.88,24.33,36.3,5.99,0.83,2.85,55.08,1.51,5.5,1.48,92,Moderate,10.8,75.6,0.043,2.55,47.22,1454.2
Aichi,Ichinomiya,2017-06-01,12.1,17.61,18.11,26.23,19.98,2.48,0.38,8.44,33.53,1.73,1.83,0.43,49,Good,7.4,73.6,0.067,2.47,46.06,1450.1
Aichi,Ichinomiya,2017-07-01,18.42,14.93,20.5,22.94,25.85,5.45,0.73,4.79,20.88,1.46,5.13,1.37,63,Moderate,5.2,80.4,0.056,2.78,46.74,1450.7
Aichi,Ichinomiya,2017-08-01,19.47,23.74,18.94,27.16,23.33,7.06,0.29,7.22,34.53,1.87,6.46,1.14,65,Moderate,6.0,72.7,0.041,2.7,47.21,1444.0
Aichi,Ichinomiya,2017-09-01,17.34,33.33,9.93,16.63,15.69,4.04,0.52,7.78,45.99,1.97,5.63,0.44,61,Moderate,11.0,73.5,0.052,2.62,47.13,1449.4
Aichi,Ichinomiya,2017-10-01,21.72,37.88,20.07,17.48,16.55,10.4,0.92,7.18,43.27,0.96,5.01,1.2,70,Moderate,10.2,60.4,0.033,2.82,46.87,1456.2
Aichi,Ichinomiya,2017-11-01,29.21,55.64,13.13,22.0,28.07,8.01,0.67,4.51,49.81,2.08,8.66,1.67,87,Moderate,4.3,60.0,0.042,2.58,46.37,1451.7
Aichi,Ichinomiya,2017-12-01,30.06,31.74,17.48,25.15,56.49,15.22,1.42,11.88,85.57,2.44,5.06,2.78,89,Moderate,8.7,54.2,0.037,2.88,46.26,1450.9
Aichi,Ichinomiya,2018-01-01,17.24,54.43,23.02,47.08,40.35,14.39,0.43,6.95,53.13,3.32,9.15,2.45,60,Moderate,6.2,52.1,0.037,2.43,46.18,1446.2
Aichi,Ichinomiya,2018-02-01,29.23,54.27,12.45,36.9,24.83,12.48,0.54,6.85,43.23,1.2,4.25,0.67,87,Moderate,7.4,58.6,0.039,2.4,46.58,1454.1
Aichi,Ichinomiya,2018-03-01,21.99,34.21,13.54,39.63,22.27,9.47,0.72,5.91,39.07,2.82,7.42,0.64,71,Moderate,12.1,65.0,0.051,2.37,46.35,1445.6
Aichi,Ichinomiya,2018-04-01,19.58,34.66,24.69,13.48,33.41,5.56,1.0,9.96,41.39,1.49,4.64,0.58,66,Moderate,8.6,63.8,0.025,2.58,46.7,1447.9
Aichi,Ichinomiya,2018-05-01,30.47,29.52,8.68,23.48,18.5,10.02,0.54,8.42,35.36,1.8,7.92,0.3,90,Moderate,10.0,69.8,0.048,2.77,46.76,1443.8
Aichi,Ichinomiya,2018-06-01,23.36,35.34,13.2,16.24,15.09,4.56,0.77,3.74,55.75,0.87,5.18,0.08,74,Moderate,5.8,74.0,0.05,2.59,46.53,1454.6
Aichi,Ichinomiya,2018-07-01,10.45,29.97,8.55,14.77,25.8,2.8,0.76,4.34,26.07,1.44,6.62,0.54,44,Good,6.3,85.9,0.05,2.87,46.41,1447.3
Aichi,Ichinomiya,2018-08-01,14.65,33.79,14.29,17.44,9.03,2.12,0.3,2.83,28.71,1.69,3.04,0.87,55,Moderate,9.2,71.7,0.053,2.39,46.69,1449.0
Aichi,Ichinomiya,2018-09-01,12.62,25.49,8.04,25.98,21.0,3.92,0.24,6.74,47.04,2.2,4.82,1.51,50,Good,4.1,83.4,0.052,2.72,46.66,1451.5
Aichi,Ichinomiya,2018-10-01,28.93,35.65,11.84,21.28,32.1,10.02,0.71,9.78,31.8,0.69,2.87,1.62,86,Moderate,3.0,59.5,0.055,2.47,47.04,1448.4
Aichi,Ichinomiya,2018-11-01,15.12,24.56,20.32,26.72,21.79,9.2,0.64,9.04,60.85,1.48,3.48,1.55,56,Moderate,8.5,55.9,0.044,2.28,46.11,1451.9
Aichi,Ichinomiya,2018-12-01,29.38,65.36,17.06,42.86,27.51,5.02,0.61,4.55,60.04,3.66,6.75,1.4,87,Moderate,9.7,56.9,0.047,2.72,45.38,1448.5
Aichi,Ichinomiya,2019-01-01,34.7,52.03,19.85,36.98,36.12,6.31,1.09,13.26,40.28,1.05,2.55,1.87,99,Moderate,8.8,52.0,0.074,2.48,45.63,1440.8
Aichi,Ichinomiya,2019-02-01,18.85,55.69,32.79,48.43,39.43,9.3,0.7,7.58,53.42,1.76,11.64,2.36,64,Moderate,4.8,54.6,0.046,2.84,46.24,1448.2
Aichi,Ichinomiya,2019-03-01,20.4,34.36,19.61,40.84,31.66,9.62,0.74,9.25,47.91,1.0,9.12,1.43,67,Moderate,9.9,71.2,0.056,2.65,46.96,1444.4
Aichi,Ichinomiya,2019-04-01,25.28,43.19,20.68,29.59,23.98,5.64,0.39,6.11,26.95,2.65,3.74,2.34,78,Moderate,8.5,63.3,0.057,3.0,46.33,1443.3
Aichi,Ichinomiya,2019-05-01,29.53,22.12,25.16,21.73,15.29,11.03,0.69,2.5,33.88,2.23,2.97,0.63,88,Moderate,8.2,76.9,0.044,2.23,45.77,1443.0
Aichi,Ichinomiya,2019-06-01,13.86,32.34,8.84,14.74,21.12,8.3,0.4,4.42,23.68,1.69,2.18,1.37,53,Moderate,7.6,76.6,0.06,2.53,46.3,1448.9
Aichi,Ichinomiya,2019-07-01,15.25,29.98,11.18,23.2,29.15,1.31,0.79,3.88,50.41,0.57,4.29,1.49,56,Moderate,4.1,83.4,0.05,2.58,46.14,1442.7
Aichi,Ichinomiya,2019-08-01,14.47,15.45,5.78,16.03,14.57,5.07,0.59,2.71,29.63,1.62,3.66,1.04,54,Moderate,7.9,75.7,0.026,2.69,45.8,1442.6
Aichi,Ichinomiya,2019-09-01,12.23,28.23,11.84,15.51,20.09,6.01,0.44,4.28,52.08,0.97,2.88,0.71,49,Good,4.1,65.3,0.061,2.65,46.02,1445.2
Aichi,Ichinomiya,2019-10-01,32.02,33.23,11.56,29.06,30.9,8.46,0.42,10.12,33.94,1.62,8.21,0.92,93,Moderate,6.3,68.2,0.052,2.46,46.2,1450.6
Aichi,Ichinomiya,2019-11-01,13.05,18.74,16.63,22.38,36.82,6.79,1.01,7.01,56.35,1.73,8.67,1.61,51,Moderate,5.0,55.6,0.051,2.66,46.41,1454.3
Aichi,Ichinomiya,2019-12-01,44.56,29.46,31.74,39.28,26.26,11.61,1.37,8.47,80.49,2.44,9.2,1.98,123,Unhealthy for Sensitive Groups,8.4,54.3,0.048,2.45,45.51,1445.1
Aichi,Ichinomiya,2020-01-01,18.43,48.23,31.14,32.88,47.24,4.59,1.36,9.51,75.35,3.78,8.63,2.58,63,Moderate,8.4,53.3,0.057,2.87,44.94,1440.8
Aichi,Ichinomiya,2020-02-01,19.8,43.48,26.08,27.77,25.65,3.78,0.99,9.05,42.16,3.15,6.32,2.22,66,Moderate,7.1,49.6,0.056,1.97,45.06,1444.1
Aichi,Ichinomiya,2020-03-01,16.7,19.75,17.45,9.79,9.08,4.53,0.8,3.24,23.92,1.08,2.54,0.37,59,Moderate,9.6,63.3,0.044,2.75,45.46,1443.4
Aichi,Ichinomiya,2020-04-01,11.79,22.11,5.74,10.73,18.69,3.3,0.33,2.78,12.14,0.23,1.03,0.42,49,Good,4.9,66.3,0.042,2.36,45.37,1444.6
Aichi,Ichinomiya,2020-05-01,12.35,20.66,9.65,8.67,12.19,3.19,0.35,0.3,10.22,0.91,1.11,0.99,50,Good,8.5,64.9,0.028,2.62,46.17,1439.4
Aichi,Ichinomiya,2020-06-01,7.36,28.72,5.91,10.21,8.05,1.39,0.33,4.32,25.34,0.79,1.82,0.59,31,Good,6.9,89.3,0.057,2.73,46.15,1442.9
Aichi,Ichinomiya,2020-07-01,20.77,31.47,16.2,25.65,7.51,3.76,0.63,6.33,46.46,0.89,2.01,0.47,68,Moderate,4.6,85.0,0.042,2.23,45.91,1444.5
Aichi,Ichinomiya,2020-08-01,18.28,17.29,6.4,13.96,17.93,7.32,0.42,6.65,35.18,1.6,2.16,1.23,63,Moderate,6.0,81.2,0.038,2.56,46.04,1441.7
Aichi,Ichinomiya,2020-09-01,11.6,21.73,8.21,22.45,23.45,5.17,0.81,8.46,49.76,1.57,3.42,1.59,48,Good,6.1,68.6,0.059,2.17,44.86,1440.1
Aichi,Ichinomiya,2020-10-01,12.03,19.38,12.17,27.95,31.03,9.13,0.29,9.03,22.13,1.96,5.2,0.95,49,Good,8.6,74.6,0.055,2.48,45.79,1442.5
Aichi,Ichinomiya,2020-11-01,37.41,30.35,18.49,26.32,41.52,6.32,1.05,11.74,36.13,1.16,4.28,2.47,105,Unhealthy for Sensitive Groups,5.4,70.1,0.053,2.5,45.69,1441.1
Aichi,Ichinomiya,2020-12-01,30.28,37.32,17.0,43.6,52.06,10.6,0.69,6.07,78.97,3.41,4.4,1.77,89,Moderate,6.5,52.2,0.039,2.55,44.8,1435.3
Aichi,Ichinomiya,2021-01-01,42.47,39.45,20.96,29.91,44.28,13.07,0.67,3.75,47.91,1.59,6.74,1.54,118,Unhealthy for Sensitive Groups,9.4,53.2,0.072,2.83,45.77,1442.0
Aichi,Ichinomiya,2021-02-01,38.04,40.15,14.11,48.1,20.27,11.53,0.57,7.37,52.93,0.79,6.11,2.2,106,Unhealthy for Sensitive Groups,8.9,60.5,0.051,3.02,45.05,1438.0
Aichi,Ichinomiya,2021-03-01,31.15,58.75,21.63,25.29,15.48,5.42,1.2,4.49,58.88,1.47,3.11,1.92,91,Moderate,7.0,70.1,0.047,2.52,45.98,1437.3
Aichi,Ichinomiya,2021-04-01,31.05,32.46,18.75,36.45,29.32,3.35,1.1,3.04,55.68,1.97,8.95,1.55,91,Moderate,11.4,56.6,0.057,2.21,45.68,1439.6
Aichi,Ichinomiya,2021-05-01,19.49,37.2,21.62,15.3,36.1,7.65,0.36,6.82,37.51,2.27,3.49,1.54,65,Moderate,12.5,70.8,0.056,2.65,45.98,1435.0
Aichi,Ichinomiya,2021-06-01,16.39,15.1,14.91,16.43,28.0,2.65,0.58,3.77,45.62,0.71,3.54,0.38,59,Moderate,6.0,81.1,0.062,2.58,44.62,1437.4
Aichi,Ichinomiya,2021-07-01,13.7,26.87,10.06,16.38,18.53,6.98,0.72,5.96,35.51,0.47,5.06,0.86,53,Moderate,5.7,76.3,0.045,2.31,45.49,1435.4
Aichi,Ichinomiya,2021-08-01,12.38,31.39,20.08,20.67,18.8,3.14,0.45,4.72,34.22,0.54,2.79,0.75,50,Good,4.8,86.8,0.028,2.6,44.78,1440.0
Aichi,Ichinomiya,2021-09-01,10.51,20.8,17.37,19.71,12.69,2.28,0.36,3.42,44.43,1.1,5.23,0.44,44,Good,6.5,74.5,0.033,2.92,45.5,1444.3
Aichi,Ichinomiya,2021-10-01,11.44,41.03,11.36,21.56,20.74,4.43,0.57,6.91,43.96,1.46,6.81,1.53,48,Good,4.4,72.0,0.06,3.01,45.32,1441.5
Aichi,Ichinomiya,2021-11-01,22.75,29.62,22.75,22.65,34.21,8.97,1.04,4.76,33.11,2.18,8.35,1.49,73,Moderate,6.7,61.0,0.04,2.91,44.07,1441.0
Aichi,Ichinomiya,2021-12-01,17.82,31.71,22.42,24.76,20.4,12.91,0.91,14.97,40.61,2.6,11.65,2.79,62,Moderate,11.9,59.7,0.062,2.43,45.13,1440.6
Aichi,Ichinomiya,2022-01-01,27.81,40.17,16.3,40.41,20.83,4.44,0.76,7.25,65.95,2.8,9.12,2.85,84,Moderate,10.0,58.8,0.052,2.96,44.94,1435.1
Aichi,Ichinomiya,2022-02-01,29.48,42.88,15.7,16.28,43.05,4.0,0.6,9.22,50.65,1.52,7.01,2.69,88,Moderate,9.8,59.8,0.04,2.5,43.99,1438.7
Aichi,Ichinomiya,2022-03-01,21.79,55.8,20.45,39.07,44.23,8.64,0.93,10.6,65.42,3.16,7.95,1.71,71,Moderate,11.7,52.8,0.051,2.58,44.29,1435.5
Aichi,Ichinomiya,2022-04-01,17.67,43.48,23.87,26.83,16.96,9.29,0.56,7.99,33.68,2.52,4.5,0.91,61,Moderate,11.0,66.3,0.055,2.43,44.44,1436.6
Aichi,Ichinomiya,2022-05-01,29.03,39.49,15.83,24.83,14.42,5.66,0.79,4.36,28.63,1.69,3.0,1.58,87,Moderate,6.8,59.8,0.066,2.7,44.88,1438.0
Aichi,Ichinomiya,2022-06-01,6.26,24.3,11.4,17.34,14.03,5.56,0.63,6.44,22.43,0.92,4.42,1.41,26,Good,9.8,88.9,0.045,2.9,44.24,1440.2
Aichi,Ichinomiya,2022-07-01,11.81,30.5,5.26,13.47,15.62,7.5,0.7,4.08,28.67,0.86,3.3,1.42,49,Good,5.6,80.7,0.045,2.71,44.43,1438.3
Aichi,Ichinomiya,2022-08-01,14.48,25.62,11.46,10.82,10.02,2.46,0.72,5.28,34.4,0.38,4.62,0.41,54,Moderate,7.9,88.8,0.042,2.29,43.93,1440.8
Aichi,Ichinomiya,2022-09-01,24.49,23.11,20.09,28.38,20.3,3.06,0.87,9.59,39.91,1.19,5.53,0.97,77,Moderate,9.6,78.3,0.04,2.6,44.54,1434.9
Aichi,Ichinomiya,2022-10-01,8.07,36.88,24.17,21.97,13.13,4.44,1.03,7.01,48.22,1.26,1.91,1.96,34,Good,8.1,66.2,0.051,3.2,44.17,1440.1
Aichi,Ichinomiya,2022-11-01,14.32,53.06,12.26,17.39,44.82,10.41,0.47,11.07,51.81,1.11,8.97,1.27,54,Moderate,10.0,56.9,0.045,2.86,44.69,1442.2
Aichi,Ichinomiya,2022-12-01,20.23,34.12,27.85,27.09,34.09,5.95,0.79,5.12,42.78,2.0,8.65,1.58,67,Moderate,7.6,63.6,0.042,2.85,45.03,1433.1
Aichi,Ichinomiya,2023-01-01,38.35,31.91,25.73,30.8,45.22,8.23,0.77,10.46,76.86,2.08,6.95,1.77,107,Unhealthy for Sensitive Groups,10.0,46.4,0.051,2.53,44.48,1431.7
Aichi,Ichinomiya,2023-02-01,15.75,24.63,31.14,45.7,41.77,12.08,0.95,9.04,64.2,0.58,9.86,2.32,57,Moderate,7.1,62.8,0.051,2.69,44.86,1436.7
Aichi,Ichinomiya,2023-03-01,21.46,48.6,19.7,26.4,31.81,7.06,0.46,4.72,46.61,3.17,9.85,2.09,70,Moderate,9.5,52.6,0.073,2.39,44.47,1437.7
Aichi,Ichinomiya,2023-04-01,21.59,40.01,14.02,31.51,29.37,6.01,0.4,4.49,37.36,2.48,1.98,1.45,70,Moderate,7.8,69.5,0.038,2.84,44.9,1430.8
Aichi,Ichinomiya,2023-05-01,17.24,17.4,20.47,29.17,14.98,3.58,0.47,4.24,45.97,0.91,4.17,1.13,60,Moderate,5.3,74.4,0.03,2.51,45.14,1435.0
Aichi,Ichinomiya,2023-06-01,17.26,36.93,16.07,12.07,14.12,3.32,0.4,5.38,44.13,0.8,6.7,1.28,60,Moderate,5.7,71.3,0.055,2.69,45.21,1426.3
Aichi,Ichinomiya,2023-07-01,6.91,26.68,6.38,23.97,20.37,4.33,0.65,4.25,36.97,1.14,3.36,0.81,29,Good,7.4,78.1,0.051,2.73,44.43,1429.5
Aichi,Ichinomiya,2023-08-01,16.02,25.87,11.65,18.61,13.79,4.2,0.7,3.34,29.2,0.98,2.63,0.88,58,Moderate,6.5,70.3,0.052,2.73,44.35,1427.6
Aichi,Ichinomiya,2023-09-01,24.33,29.21,11.51,24.26,21.25,2.68,0.82,3.35,24.43,1.46,5.86,0.92,76,Moderate,7.9,74.5,0.04,2.26,44.03,1434.2
Aichi,Ichinomiya,2023-10-01,14.65,34.27,21.18,23.33,22.0,7.21,0.85,8.54,20.3,2.65,6.98,1.13,55,Moderate,5.5,61.2,0.034,2.34,45.13,1427.9
Aichi,Ichinomiya,2023-11-01,24.73,44.64,21.49,31.04,40.64,3.89,0.93,9.36,41.07,2.82,4.44,1.5,77,Moderate,10.1,51.1,0.064,2.57,44.47,1430.6
Aichi,Ichinomiya,2023-12-01,32.92,49.03,36.33,30.63,21.54,10.0,0.71,4.5,61.48,0.91,11.27,1.78,95,Moderate,11.4,60.3,0.05,3.18,44.8,1436.4
Aichi,Ichinomiya,2024-01-01,19.69,37.32,24.3,37.58,36.35,12.23,1.12,9.5,47.58,2.75,4.7,1.0,66,Moderate,8.0,64.4,0.057,2.32,43.91,1432.8
Aichi,Ichinomiya,2024-02-01,25.86,47.11,16.79,21.44,24.86,4.0,0.46,7.07,59.4,1.96,10.21,1.97,80,Moderate,10.0,63.7,0.042,3.44,44.46,1431.9
Aichi,Ichinomiya,2024-03-01,14.24,47.33,18.32,31.54,30.89,8.67,0.9,11.28,60.44,1.03,3.99,0.63,54,Moderate,8.6,52.1,0.047,2.6,43.19,1427.5
Aichi,Ichinomiya,2024-04-01,25.75,33.84,16.26,15.89,40.21,3.08,0.38,3.22,48.52,2.58,2.22,1.8,79,Moderate,8.8,72.4,0.041,2.88,43.71,1432.3
Aichi,Ichinomiya,2024-05-01,12.78,41.36,14.64,15.18,26.43,6.41,0.85,3.88,51.93,1.94,1.48,1.3,51,Moderate,7.3,68.4,0.065,2.83,43.11,1429.1
Aichi,Ichinomiya,2024-06-01,14.94,30.48,11.15,15.86,15.44,4.06,0.52,4.0,28.02,1.24,4.19,0.87,55,Moderate,8.8,84.5,0.05,2.87,44.41,1427.4
Aichi,Ichinomiya,2024-07-01,7.86,26.05,5.99,18.78,8.28,5.22,0.38,7.38,36.71,1.8,4.25,0.2,33,Good,5.9,75.9,0.056,2.52,44.64,1426.9
Aichi,Ichinomiya,2024-08-01,17.6,22.04,18.15,19.09,25.46,6.76,0.44,2.67,37.94,1.17,4.41,1.46,61,Moderate,9.8,79.2,0.048,2.62,44.81,1429.9
Aichi,Ichinomiya,2024-09-01,18.22,15.7,14.25,24.57,25.33,3.13,0.84,3.75,17.01,1.32,3.07,0.43,63,Moderate,2.0,72.8,0.05,2.82,44.55,1433.8
Aichi,Ichinomiya,2024-10-01,26.67,30.6,23.79,23.59,18.05,5.47,0.63,6.12,41.21,1.55,2.37,0.44,81,Moderate,11.5,62.1,0.048,3.0,43.68,1430.9
Aichi,Ichinomiya,2024-11-01,15.15,47.66,15.96,16.39,15.78,10.87,1.12,11.29,59.28,0.6,8.67,0.7,56,Moderate,13.2,64.9,0.032,2.97,44.07,1430.3
Aichi,Ichinomiya,2024-12-01,24.63,63.74,25.64,34.87,45.39,4.14,0.62,5.44,78.47,2.26,8.31,2.44,77,Moderate,7.4,55.3,0.042,3.01,43.61,1435.1
Aichi,Ichinomiya,2025-01-01,25.71,53.62,23.02,39.28,50.43,6.34,0.87,10.5,57.31,2.62,4.13,1.55,79,Moderate,8.3,55.7,0.053,2.72,43.85,1426.4
Aichi,Ichinomiya,2025-02-01,36.33,35.73,31.98,35.47,28.94,6.73,0.39,9.62,39.8,3.2,8.99,0.48,102,Unhealthy for Sensitive Groups,7.2,52.8,0.03,2.81,43.63,1424.9
