State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
East Java,Jember,2014-01-01,20.38,26.78,3.9,10.0,13.91,12.37,1.0,7.31,29.39,1.43,3.55,4.21,55,Satisfactory,7.31,90.67,0.38457,3.79,12.48,1904.07
East Java,Sidoarjo,2014-01-01,11.0,28.73,13.86,26.04,39.9,12.55,0.75,1.85,20.49,2.94,8.75,6.83,45,Good,3.8,82.13,0.12854,3.26,10.75,2967.62
East Java,Gresik,2014-01-01,24.38,25.76,8.97,28.75,37.72,4.37,0.92,17.2,37.27,3.32,11.79,5.22,57,Satisfactory,10.32,90.64,0.09124,5.63,13.72,2880.01
East Java,Tuban,2014-01-01,21.32,19.58,5.74,15.34,21.07,17.86,0.74,3.97,25.31,1.5,3.47,3.01,82,Satisfactory,2.36,89.22,0.27881,3.24,9.25,1742.34
East Java,Bojonegoro,2014-01-01,31.82,33.97,7.18,13.88,21.06,20.71,0.95,2.31,14.52,1.01,2.23,2.81,56,Satisfactory,8.14,89.48,0.24843,6.66,9.99,808.04
Central Java,Semarang,2014-01-01,18.02,17.13,4.01,9.53,13.53,12.48,0.86,4.54,38.9,1.51,4.23,1.79,63,Satisfactory,14.64,75.44,0.12369,4.8,8.73,921.24
Central Java,Surakarta,2014-01-01,23.55,23.98,3.02,9.88,12.9,12.53,0.98,7.43,27.73,0.94,2.01,2.71,59,Satisfactory,8.58,72.52,0.22657,4.8,12.12,1323.22
Central Java,Magelang,2014-01-01,30.82,25.3,7.53,14.26,21.78,14.32,0.75,4.02,43.41,0.94,2.98,1.07,66,Satisfactory,12.24,100.0,0.32908,4.6,12.72,441.69
Central Java,Pekalongan,2014-01-01,5.58,33.08,10.13,17.78,27.91,16.37,0.92,3.31,36.21,1.35,4.91,2.56,34,Good,10.64,79.66,0.07584,4.8,10.77,538.75
Central Java,Salatiga,2014-01-01,26.01,49.53,9.29,16.13,25.43,15.28,0.85,2.28,42.19,0.22,0.84,0.39,70,Satisfactory,15.23,80.74,0.22186,4.47,12.77,1135.66
Central Java,Tegal,2014-01-01,17.66,25.16,7.49,14.93,22.42,23.87,0.94,2.4,33.27,0.84,3.33,1.36,81,Satisfactory,15.25,92.93,0.13802,5.1,11.08,1417.73
Central Java,Cilacap,2014-01-01,21.8,51.32,21.62,39.32,60.94,12.5,1.02,5.37,15.74,2.85,8.7,5.27,51,Satisfactory,0.5,100.0,0.16032,2.84,31.78,2934.22
Central Java,Banyumas,2014-01-01,18.84,38.7,6.06,17.85,23.91,21.47,0.5,2.91,29.54,1.3,4.91,1.52,61,Satisfactory,13.91,73.16,0.32017,6.38,5.47,1045.89
Central Java,Kendal,2014-01-01,10.23,33.99,9.11,22.39,31.5,13.05,1.01,2.2,18.38,0.85,3.41,2.38,27,Good,5.02,91.89,0.11204,3.12,11.83,292.12
Central Java,Demak,2014-01-01,21.08,33.69,4.56,11.19,15.74,17.77,0.99,1.48,43.12,1.31,3.28,2.11,53,Satisfactory,8.28,70.2,0.04789,6.24,9.31,982.26
Central Java,Kudus,2014-01-01,10.19,34.18,3.69,11.66,15.36,17.67,0.47,5.15,21.5,0.94,3.28,2.53,23,Good,6.31,81.88,0.08534,4.49,11.36,1132.54
Central Java,Jepara,2014-01-01,21.18,19.35,7.6,13.83,21.43,19.3,0.67,2.45,34.13,1.27,4.27,3.18,93,Satisfactory,15.2,100.0,0.45406,5.17,9.2,590.71
Central Java,Pati,2014-01-01,11.65,18.82,3.72,8.41,12.13,21.05,0.95,5.96,26.29,1.17,4.26,1.81,27,Good,5.55,85.25,0.33839,3.19,14.47,1183.98
Central Java,Rembang,2014-01-01,19.86,46.33,6.53,15.82,22.35,8.45,0.49,5.09,37.25,2.06,7.89,3.54,81,Satisfactory,15.57,85.98,0.22353,4.41,8.0,244.86
Sumatra,Medan,2014-01-01,16.25,28.93,15.44,26.16,41.59,10.95,1.54,3.38,67.66,1.35,4.25,3.21,64,Satisfactory,7.27,82.96,1.49499,6.89,16.78,13330.9
Sumatra,Palembang,2014-01-01,12.98,28.87,8.62,15.83,24.45,12.04,0.83,3.22,31.16,1.43,4.87,3.93,64,Satisfactory,7.0,98.46,2.32836,5.32,15.07,586.07
Sumatra,Padang,2014-01-01,25.73,46.27,5.34,11.31,16.65,7.94,0.1,5.76,28.59,0.91,3.45,2.32,91,Satisfactory,9.45,87.98,1.28487,4.7,5.1,1466.3
Sumatra,Bandar Lampung,2014-01-01,29.92,53.17,8.17,15.99,24.16,3.92,0.41,4.12,49.25,1.11,3.37,2.59,53,Satisfactory,6.01,91.45,1.20071,7.35,4.37,620.85
Sumatra,Pekanbaru,2014-01-01,26.01,27.79,7.47,15.65,23.12,11.27,0.72,6.1,38.01,1.32,4.4,3.22,68,Satisfactory,12.76,84.72,1.38882,2.75,7.6,1229.72
Sumatra,Jambi,2014-01-01,13.92,28.81,8.73,15.2,23.92,8.2,0.95,3.01,52.27,1.35,3.4,2.01,66,Satisfactory,3.53,99.48,1.06933,6.06,5.37,1400.26
Sumatra,Bengkulu,2014-01-01,25.23,31.35,4.11,12.74,16.85,12.03,0.63,4.24,34.89,1.06,2.71,3.14,64,Satisfactory,2.33,100.0,1.18364,6.11,11.54,570.89
Sumatra,Banda Aceh,2014-01-01,15.74,33.78,7.42,17.29,24.71,7.51,0.61,5.05,42.59,1.01,2.84,1.36,79,Satisfactory,3.14,77.73,1.69738,4.76,15.44,846.08
Sumatra,Pangkal Pinang,2014-01-01,29.06,38.67,9.69,20.13,29.82,6.22,0.46,1.57,33.97,1.59,4.19,2.92,57,Satisfactory,6.0,68.57,1.60202,4.07,8.97,800.52
Sumatra,Tanjung Pinang,2014-01-01,13.64,61.52,4.47,12.92,17.4,8.8,1.21,4.81,27.46,0.88,2.02,2.42,92,Satisfactory,3.37,78.25,1.80468,5.62,10.47,1196.17
Sumatra,Binjai,2014-01-01,16.57,21.78,6.25,14.42,20.67,4.07,1.02,0.29,36.69,1.57,5.63,2.64,60,Satisfactory,9.73,67.97,0.82052,2.69,6.77,665.14
Sumatra,Dumai,2014-01-01,24.4,16.03,8.15,25.46,33.61,7.45,0.85,8.38,36.46,2.62,7.57,3.11,75,Satisfactory,14.48,100.0,2.10531,5.09,26.81,3640.5
Sumatra,Bukittinggi,2014-01-01,7.26,22.72,8.87,18.46,27.33,13.15,0.83,5.26,4.87,0.81,2.86,2.12,20,Good,8.37,92.7,0.69281,3.2,11.86,603.66
Kalimantan (Borneo),Balikpapan,2014-01-01,22.89,19.07,8.81,25.14,33.95,8.1,0.89,12.69,30.72,1.97,5.5,4.87,66,Satisfactory,20.3,97.42,0.42108,4.75,15.6,1796.13
Kalimantan (Borneo),Samarinda,2014-01-01,15.44,32.74,7.78,17.66,25.44,9.48,0.72,4.96,21.49,1.21,4.24,2.67,51,Satisfactory,7.57,86.28,0.98487,3.7,12.43,394.1
Kalimantan (Borneo),Banjarmasin,2014-01-01,25.01,25.24,9.44,17.44,26.89,7.57,0.72,3.87,46.52,1.12,3.57,1.3,76,Satisfactory,9.35,88.47,0.44442,4.25,10.88,974.79
Kalimantan (Borneo),Pontianak,2014-01-01,21.71,15.68,3.99,10.6,14.59,8.29,0.73,6.37,52.22,1.81,5.01,3.69,65,Satisfactory,14.41,84.17,1.18019,4.18,9.64,979.9
Kalimantan (Borneo),Palangka Raya,2014-01-01,17.21,33.74,3.83,7.08,10.91,13.69,0.88,4.36,44.46,1.32,3.21,3.72,68,Satisfactory,5.94,86.5,1.8007,4.57,6.71,1299.61
Kalimantan (Borneo),Tarakan,2014-01-01,15.51,18.25,8.49,20.6,29.09,9.6,0.85,6.23,26.76,0.96,3.03,2.66,83,Satisfactory,5.15,89.03,1.29162,4.1,7.81,1972.06
Kalimantan (Borneo),Banjarbaru,2014-01-01,20.33,31.51,6.93,14.49,21.41,2.46,0.93,3.08,32.52,2.04,6.36,4.29,75,Satisfactory,3.72,84.86,1.48276,2.37,9.06,764.36
Kalimantan (Borneo),Bontang,2014-01-01,18.84,27.55,14.66,36.27,50.93,4.99,0.88,16.72,44.45,2.54,5.7,5.03,79,Satisfactory,1.49,100.0,1.14899,4.38,25.03,4162.8
Kalimantan (Borneo),Singkawang,2014-01-01,18.16,29.87,9.31,21.61,30.92,13.48,0.77,3.46,19.99,1.5,4.05,2.34,63,Satisfactory,10.43,95.11,1.71142,3.28,10.74,1832.56
Sulawesi,Makassar,2014-01-01,23.73,24.96,5.36,12.69,18.05,3.26,0.82,4.74,44.77,0.91,2.25,2.52,54,Satisfactory,13.42,89.4,0.11106,2.4,10.74,928.42
Sulawesi,Manado,2014-01-01,8.6,29.2,5.34,10.94,16.28,12.59,0.99,3.72,53.43,0.81,2.1,1.77,19,Good,19.09,66.23,0.32457,2.92,8.11,1805.28
Sulawesi,Palu,2014-01-01,16.28,28.87,3.61,7.97,11.58,2.36,0.93,4.74,46.79,1.2,4.04,2.27,94,Satisfactory,14.76,83.63,0.24373,5.99,11.34,1230.78
Sulawesi,Kendari,2014-01-01,13.69,21.22,7.4,13.02,20.42,6.35,0.98,5.7,23.55,1.61,4.33,3.68,70,Satisfactory,9.75,77.97,0.11359,1.29,9.44,1529.19
Sulawesi,Gorontalo,2014-01-01,10.8,50.14,3.32,10.37,13.69,8.49,0.58,3.3,21.21,0.85,3.35,2.08,15,Good,7.23,100.0,0.14839,6.4,7.78,314.57
Sulawesi,Bitung,2014-01-01,17.99,15.82,3.79,10.63,14.42,11.59,1.0,3.35,25.57,1.12,2.76,2.15,56,Satisfactory,7.36,89.78,0.21961,4.94,11.76,1548.39
Sulawesi,Palopo,2014-01-01,11.84,7.21,8.11,14.7,22.81,5.99,0.98,3.16,30.19,1.8,5.91,3.03,29,Good,5.58,82.68,0.22674,4.52,13.41,5.0
Sulawesi,Baubau,2014-01-01,8.8,36.9,9.64,18.04,27.69,7.6,0.78,2.88,33.13,2.08,4.48,5.97,34,Good,9.15,84.04,0.11467,4.66,7.7,1180.74
Sulawesi,Parepare,2014-01-01,17.06,38.02,4.59,8.24,12.83,8.12,0.81,0.15,46.54,1.63,4.92,3.79,79,Satisfactory,7.12,68.78,0.1899,4.75,5.87,1043.31
Bali & Nusa Tenggara,Denpasar,2014-01-01,10.11,18.36,9.86,22.17,32.03,15.34,0.77,4.14,32.32,1.1,3.02,1.32,46,Good,6.21,82.05,0.14626,5.34,12.19,1176.78
Bali & Nusa Tenggara,Mataram,2014-01-01,21.84,32.08,4.57,10.81,15.39,16.35,1.22,3.02,37.96,1.02,2.14,2.88,83,Satisfactory,8.6,89.09,0.10798,2.84,3.75,1145.9
Bali & Nusa Tenggara,Kupang,2014-01-01,27.64,20.93,4.85,10.5,15.34,13.38,0.5,5.65,30.97,0.93,2.98,1.01,92,Satisfactory,0.5,92.17,0.38606,4.52,9.5,446.55
Bali & Nusa Tenggara,Bima,2014-01-01,15.17,34.64,7.52,16.94,24.46,12.33,0.71,3.61,53.15,0.86,2.6,2.51,67,Satisfactory,15.08,86.48,0.49306,3.64,11.08,738.04
Bali & Nusa Tenggara,Singaraja,2014-01-01,4.9,26.61,11.32,22.27,33.59,15.36,0.93,2.72,51.0,1.41,4.62,3.7,46,Good,12.45,79.68,0.31641,4.4,3.27,1080.9
Papua & Maluku,Jayapura,2014-01-01,16.54,25.27,5.67,11.78,17.45,8.06,0.77,3.76,44.6,1.39,3.08,3.21,89,Satisfactory,2.89,100.0,0.93115,2.54,8.72,17.35
Papua & Maluku,Ambon,2014-01-01,11.62,25.44,7.84,15.1,22.94,10.45,0.5,3.61,43.27,1.2,2.96,2.63,46,Good,20.56,85.5,1.30482,4.98,12.02,23.11
Papua & Maluku,Ternate,2014-01-01,8.74,26.19,8.39,14.98,23.37,7.99,1.18,5.0,46.9,1.81,5.38,4.41,49,Good,8.59,76.84,0.86097,6.43,11.79,5.0
Papua & Maluku,Sorong,2014-01-01,13.08,21.36,6.6,12.35,18.95,7.13,0.82,3.24,28.15,1.35,4.15,2.68,73,Satisfactory,26.9,92.95,1.16059,5.2,4.11,36.99
Papua & Maluku,Manokwari,2014-01-01,24.48,15.86,6.19,18.31,24.5,9.57,0.69,4.51,37.01,1.39,2.93,2.46,88,Satisfactory,15.09,92.31,0.80417,2.76,8.38,5.0
Papua & Maluku,Merauke,2014-01-01,19.94,39.11,6.72,15.59,22.31,9.75,0.99,6.18,28.13,2.34,7.36,6.86,73,Satisfactory,2.2,96.69,1.01955,3.15,7.99,16.28
Papua & Maluku,Timika,2014-01-01,16.54,25.76,8.15,19.04,27.19,14.77,0.67,4.97,15.32,0.68,1.72,1.29,85,Satisfactory,4.05,76.65,0.56314,4.4,10.18,13.39
Jakarta (DKI),Jakarta Pusat,2014-02-01,35.12,24.72,16.46,34.86,51.32,6.59,1.12,3.03,49.7,1.84,6.54,3.71,83,Satisfactory,9.98,94.01,0.25974,3.26,15.81,19312.15
Jakarta (DKI),Jakarta Utara,2014-02-01,16.96,21.88,3.29,10.05,13.34,7.79,0.96,4.2,39.71,1.01,3.41,2.01,71,Satisfactory,18.69,93.03,0.21955,3.92,9.51,544.34
Jakarta (DKI),Jakarta Barat,2014-02-01,18.93,22.83,28.72,54.39,83.11,7.35,2.41,1.85,36.81,1.62,3.54,2.57,65,Satisfactory,11.59,80.86,0.17436,2.07,13.01,14375.89
Jakarta (DKI),Jakarta Selatan,2014-02-01,41.94,16.9,19.68,43.52,63.2,7.04,2.35,4.43,51.44,1.21,4.77,2.08,104,Moderate,5.96,77.41,0.22448,6.08,18.55,13521.81
Jakarta (DKI),Jakarta Timur,2014-02-01,26.43,32.24,11.55,29.06,40.61,9.62,1.69,4.11,51.48,1.55,5.04,2.28,98,Satisfactory,11.89,88.82,0.17367,4.11,11.5,14020.93
Jakarta (DKI),Kepulauan Seribu,2014-02-01,17.21,31.59,8.09,14.13,22.22,7.02,0.72,5.09,34.27,1.74,6.76,4.59,99,Satisfactory,12.41,79.97,0.25802,3.99,7.79,981.31
West Java,Bandung,2014-02-01,38.98,42.45,18.44,37.83,56.27,22.75,1.32,1.44,27.17,1.22,2.73,2.73,121,Moderate,12.55,89.1,0.23993,2.19,20.04,14309.63
West Java,Bekasi,2014-02-01,24.35,24.91,18.36,44.18,62.54,18.43,1.55,3.58,33.55,1.62,4.65,3.33,90,Satisfactory,6.4,76.72,0.07137,3.92,7.24,14173.01
West Java,Bogor,2014-02-01,17.73,30.34,4.35,12.48,16.83,20.54,0.44,3.08,35.27,1.48,5.25,1.93,51,Satisfactory,0.89,100.0,0.18178,6.27,7.85,815.41
West Java,Depok,2014-02-01,36.78,32.77,11.95,33.55,45.5,16.61,1.62,6.9,26.89,1.34,4.53,2.4,105,Moderate,8.33,74.25,0.31306,3.89,15.83,9742.11
West Java,Cimahi,2014-02-01,24.79,33.05,5.38,14.13,19.51,22.03,0.73,1.36,40.16,1.15,3.89,1.67,51,Satisfactory,10.57,71.73,0.20443,4.54,14.21,404.84
West Java,Cirebon,2014-02-01,17.34,18.41,6.21,15.31,21.52,14.44,0.91,4.9,33.44,1.23,2.99,3.54,59,Satisfactory,10.68,85.15,0.25702,6.19,7.08,1714.75
West Java,Sukabumi,2014-02-01,20.49,32.06,6.61,11.56,18.17,12.7,0.58,3.97,30.64,1.14,4.2,1.2,87,Satisfactory,6.17,98.78,0.1547,4.79,9.65,954.49
West Java,Tasikmalaya,2014-02-01,13.13,17.15,8.85,19.08,27.92,15.68,0.7,2.89,33.08,1.34,2.96,3.08,83,Satisfactory,15.76,83.68,0.36025,7.64,6.82,621.82
West Java,Banjar,2014-02-01,14.42,24.13,5.85,10.96,16.81,18.96,0.66,3.78,45.29,1.67,4.8,3.71,84,Satisfactory,7.2,73.05,0.24096,4.39,9.81,1777.5
West Java,Cianjur,2014-02-01,13.34,43.1,6.3,11.66,17.96,14.6,0.81,3.98,39.32,1.06,2.81,1.17,90,Satisfactory,5.64,88.71,0.11101,4.82,5.1,1832.59
West Java,Garut,2014-02-01,18.08,41.66,4.69,12.67,17.36,17.84,0.98,4.23,30.09,1.35,5.31,2.49,93,Satisfactory,13.73,91.93,0.16405,3.79,10.57,1133.58
West Java,Indramayu,2014-02-01,18.78,39.32,4.43,9.4,13.83,15.95,0.94,2.83,30.04,1.07,3.61,2.35,61,Satisfactory,12.17,94.07,0.43519,4.77,9.31,693.39
West Java,Karawang,2014-02-01,33.01,27.1,16.74,29.16,45.9,17.09,0.85,10.12,13.97,2.91,7.72,4.92,62,Satisfactory,6.0,91.2,0.04709,4.67,18.46,1664.04
West Java,Purwakarta,2014-02-01,10.55,31.69,4.03,12.12,16.15,12.89,0.98,5.69,54.9,0.79,2.29,0.79,33,Good,8.62,72.56,0.25087,4.69,10.43,844.35
West Java,Subang,2014-02-01,20.03,40.11,9.71,17.42,27.13,10.91,0.98,2.61,37.21,0.65,2.03,1.06,74,Satisfactory,12.6,73.17,0.13493,5.05,9.85,286.13
West Java,Sumedang,2014-02-01,14.91,53.8,6.11,18.62,24.73,18.23,0.39,3.28,41.68,1.16,4.07,2.06,55,Satisfactory,13.27,80.03,0.29699,5.26,7.8,963.28
East Java,Surabaya,2014-02-01,6.87,27.18,10.71,18.59,29.3,19.7,2.84,2.32,34.75,1.13,2.56,1.2,24,Good,9.06,95.21,0.08486,3.52,12.44,12883.85
East Java,Malang,2014-02-01,13.93,10.52,4.1,13.13,17.23,3.5,0.86,4.2,46.3,0.56,1.56,0.73,75,Satisfactory,11.82,90.88,0.16667,6.24,15.26,1445.08
East Java,Batu,2014-02-01,18.98,44.9,5.95,17.16,23.1,13.95,0.86,2.53,43.63,0.62,2.04,1.43,55,Satisfactory,3.49,60.0,0.16748,5.52,3.36,1138.99
East Java,Madiun,2014-02-01,25.7,31.32,3.6,10.35,13.94,20.93,0.39,2.26,35.05,1.21,4.56,3.28,55,Satisfactory,5.43,87.56,0.20588,2.93,13.24,1560.78
East Java,Mojokerto,2014-02-01,26.45,30.35,5.49,12.78,18.27,18.07,0.58,6.09,38.35,1.0,3.86,1.98,97,Satisfactory,6.49,77.03,0.16578,2.77,12.79,380.23
East Java,Pasuruan,2014-02-01,32.55,25.74,3.81,9.04,12.86,13.78,0.58,3.98,46.3,1.45,3.43,1.55,93,Satisfactory,6.64,70.96,0.19998,3.42,1.86,1233.13
East Java,Probolinggo,2014-02-01,10.76,29.6,7.56,18.84,26.41,11.88,0.58,2.92,31.87,1.85,6.92,2.04,18,Good,10.32,90.05,0.12655,5.89,11.58,1401.77
East Java,Kediri,2014-02-01,19.87,31.9,8.14,20.5,28.64,11.61,0.92,3.63,38.16,1.69,6.72,3.23,55,Satisfactory,8.69,99.44,0.30184,4.29,7.54,799.65
East Java,Blitar,2014-02-01,18.8,26.73,5.78,14.8,20.58,11.51,0.93,2.58,32.08,1.6,4.54,3.7,81,Satisfactory,1.29,90.84,0.26967,4.13,10.38,1342.61
East Java,Banyuwangi,2014-02-01,19.46,41.09,8.46,19.24,27.71,22.7,0.57,2.37,28.48,0.86,2.19,2.31,64,Satisfactory,10.22,86.01,0.02668,6.06,8.5,1240.55
East Java,Jember,2014-02-01,15.89,34.52,5.06,15.02,20.08,17.47,0.97,6.81,22.58,1.53,3.83,1.97,62,Satisfactory,9.14,100.0,0.06574,5.26,12.21,1328.7
East Java,Sidoarjo,2014-02-01,32.16,30.56,13.96,30.52,44.48,9.01,0.54,9.11,21.64,2.57,8.31,5.18,69,Satisfactory,4.43,81.39,0.33791,3.28,16.06,3165.43
East Java,Gresik,2014-02-01,38.12,40.91,8.05,16.03,24.08,15.92,1.01,14.58,22.46,1.54,3.34,3.79,116,Moderate,7.6,92.67,0.11142,4.45,32.12,5025.43
East Java,Tuban,2014-02-01,18.27,15.18,6.82,11.91,18.73,14.95,0.67,6.42,22.6,1.31,3.15,3.85,89,Satisfactory,6.76,79.67,0.25434,3.99,9.96,1517.86
East Java,Bojonegoro,2014-02-01,12.27,25.95,5.29,12.28,17.57,14.23,0.69,2.58,32.7,1.21,4.1,1.92,58,Satisfactory,6.28,83.28,0.19682,4.16,11.37,1139.55
Central Java,Semarang,2014-02-01,10.61,33.88,5.99,12.98,18.97,7.81,0.83,5.53,23.05,1.52,4.0,2.41,31,Good,20.64,85.12,0.17482,4.21,5.82,951.1
Central Java,Surakarta,2014-02-01,10.26,24.33,4.07,11.19,15.26,10.39,0.61,4.11,33.31,1.07,2.34,2.61,32,Good,8.26,94.18,0.30436,4.78,12.39,659.8
Central Java,Magelang,2014-02-01,18.39,27.6,6.11,11.71,17.82,7.62,0.89,5.4,31.53,1.57,4.91,2.63,86,Satisfactory,14.06,77.44,0.18504,3.74,3.98,1484.32
