Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Balochistan,Chaman,2015-09-01,60.09,132.52,28.82,46.48,40.75,15.32,1.58,11.24,35.61,4.19,4.29,2.95,153,Unhealthy,8.8,76.4,0.236,0.92,15.02,35.6
Balochistan,Chaman,2015-10-01,59.29,94.24,22.89,66.87,62.66,24.33,2.16,22.04,91.24,6.1,11.31,3.41,153,Unhealthy,7.4,60.9,0.302,1.54,15.48,35.9
Balochistan,Chaman,2015-11-01,91.04,247.47,41.67,70.81,43.32,26.51,4.11,42.94,118.34,3.19,19.5,3.92,169,Unhealthy,3.7,66.9,0.085,1.39,15.35,35.8
Balochistan,Chaman,2015-12-01,152.64,249.66,59.63,48.71,116.94,19.5,4.47,16.19,124.47,9.05,13.93,6.62,203,Very Unhealthy,1.1,77.3,0.198,2.03,15.38,35.8
Balochistan,Chaman,2016-01-01,91.47,133.96,55.73,49.87,32.57,36.73,4.08,32.17,93.42,8.39,6.46,1.72,170,Unhealthy,2.1,57.1,0.237,1.87,15.25,36.2
Balochistan,Chaman,2016-02-01,95.82,120.96,38.02,43.12,64.99,15.21,2.21,32.32,68.08,4.22,6.14,0.96,172,Unhealthy,9.1,54.2,0.215,1.26,15.86,36.2
Balochistan,Chaman,2016-03-01,44.53,89.31,39.15,61.57,40.65,20.66,0.89,8.97,57.73,1.46,7.11,4.62,123,Unhealthy for Sensitive Groups,8.4,38.4,0.217,2.68,16.04,36.1
Balochistan,Chaman,2016-04-01,72.14,113.52,24.04,54.1,27.46,18.91,1.89,10.55,57.15,2.23,7.07,0.99,160,Unhealthy,11.6,39.4,0.239,1.65,16.11,35.9
Balochistan,Chaman,2016-05-01,63.28,137.76,22.64,25.55,54.81,12.24,1.31,16.69,70.23,4.64,3.61,2.4,155,Unhealthy,12.9,35.4,0.225,1.69,16.2,36.2
Balochistan,Chaman,2016-06-01,60.78,117.7,9.76,32.67,24.58,12.91,0.81,13.65,60.33,4.74,10.44,2.24,154,Unhealthy,17.5,43.8,0.101,2.03,16.31,36.5
Balochistan,Chaman,2016-07-01,72.96,130.72,14.54,35.13,26.92,7.06,1.4,12.0,21.96,2.94,8.58,1.51,160,Unhealthy,12.8,76.2,0.228,0.64,16.49,36.8
Balochistan,Chaman,2016-08-01,54.25,95.4,19.65,45.42,25.35,17.61,1.54,11.51,48.71,1.52,6.51,2.85,147,Unhealthy for Sensitive Groups,14.0,90.7,0.196,0.64,16.32,36.4
Balochistan,Chaman,2016-09-01,40.13,146.04,25.81,35.77,20.22,14.3,2.09,10.82,28.81,4.07,2.77,2.62,112,Unhealthy for Sensitive Groups,2.2,50.8,0.172,1.51,15.57,36.5
Balochistan,Chaman,2016-10-01,66.44,94.05,32.48,50.57,24.19,30.77,3.48,22.15,58.53,4.41,14.38,4.96,157,Unhealthy,6.8,46.0,0.208,2.26,15.47,36.4
Balochistan,Chaman,2016-11-01,124.86,160.2,62.34,61.48,60.73,37.43,1.95,23.74,125.96,4.62,11.69,2.17,187,Unhealthy,3.5,62.2,0.155,1.27,15.88,36.3
Balochistan,Chaman,2016-12-01,96.48,155.1,48.66,46.8,45.02,33.81,1.6,31.25,63.08,8.16,5.39,7.48,172,Unhealthy,6.4,71.7,0.162,1.82,16.07,36.2
Balochistan,Chaman,2017-01-01,103.64,158.86,44.67,77.3,74.86,30.99,1.59,16.42,106.25,1.67,10.65,5.77,176,Unhealthy,3.0,57.7,0.214,1.25,15.84,37.0
Balochistan,Chaman,2017-02-01,100.03,247.95,46.35,39.28,91.37,26.86,3.12,32.84,86.61,6.65,14.0,1.77,174,Unhealthy,8.1,62.0,0.238,2.99,16.34,36.8
Balochistan,Chaman,2017-03-01,84.88,93.94,32.13,67.69,23.14,18.44,2.48,24.8,68.9,1.5,8.8,2.13,166,Unhealthy,6.1,60.9,0.202,1.98,16.28,37.0
Balochistan,Chaman,2017-04-01,46.02,103.78,32.53,37.32,64.11,23.32,1.64,16.37,44.16,4.21,10.7,2.09,127,Unhealthy for Sensitive Groups,13.4,51.3,0.262,1.61,16.19,37.3
Balochistan,Chaman,2017-05-01,79.8,75.53,19.06,51.22,52.99,22.68,2.19,15.04,55.29,1.99,9.87,2.56,164,Unhealthy,13.3,43.7,0.196,2.76,16.39,37.0
Balochistan,Chaman,2017-06-01,45.09,107.97,22.01,44.6,57.18,22.59,0.86,9.7,26.88,1.6,5.5,3.87,125,Unhealthy for Sensitive Groups,9.0,58.5,0.177,1.89,16.12,37.2
Balochistan,Chaman,2017-07-01,53.54,96.64,15.05,18.42,22.34,10.97,2.02,7.69,30.44,1.42,7.97,0.66,145,Unhealthy for Sensitive Groups,12.3,70.3,0.248,3.88,16.35,37.2
Balochistan,Chaman,2017-08-01,35.47,63.94,19.05,21.09,19.34,20.35,1.23,9.27,29.45,2.78,3.51,2.04,101,Unhealthy for Sensitive Groups,13.8,69.5,0.115,1.0,16.18,37.2
Balochistan,Chaman,2017-09-01,40.94,68.74,26.18,31.25,59.47,10.39,1.9,20.89,46.82,1.78,9.74,3.41,114,Unhealthy for Sensitive Groups,7.8,58.0,0.206,1.39,16.5,37.1
Balochistan,Chaman,2017-10-01,49.47,197.54,25.41,28.54,60.02,13.45,1.26,30.79,90.2,4.17,6.11,2.88,135,Unhealthy for Sensitive Groups,5.2,48.4,0.193,0.93,15.91,36.8
Balochistan,Chaman,2017-11-01,64.75,290.69,50.9,62.59,54.54,45.94,1.79,40.09,109.58,4.17,19.93,6.63,156,Unhealthy,7.4,44.4,0.238,0.7,16.12,36.8
Balochistan,Chaman,2017-12-01,96.64,292.66,44.95,72.92,57.95,45.04,3.13,17.98,129.27,7.97,9.95,6.62,172,Unhealthy,2.8,80.0,0.275,1.55,16.34,37.5
Balochistan,Chaman,2018-01-01,85.76,135.44,46.86,90.95,42.99,26.77,4.03,31.31,80.67,6.87,21.92,5.4,167,Unhealthy,6.1,50.9,0.231,2.77,16.88,37.7
Balochistan,Chaman,2018-02-01,85.12,230.52,33.89,51.15,63.85,33.84,3.44,14.87,102.46,4.74,16.86,3.31,166,Unhealthy,10.0,64.1,0.197,2.18,16.59,37.7
Balochistan,Chaman,2018-03-01,59.25,145.84,15.6,61.95,77.55,29.13,1.47,26.58,63.21,4.24,11.94,3.32,153,Unhealthy,13.2,55.2,0.207,1.32,16.63,38.1
Balochistan,Chaman,2018-04-01,86.4,107.66,35.22,27.58,40.1,14.12,1.05,19.22,49.89,4.71,8.73,1.75,167,Unhealthy,7.4,43.7,0.118,1.96,16.98,38.1
Balochistan,Chaman,2018-05-01,66.02,70.12,26.04,27.01,46.06,23.32,1.95,15.47,50.45,3.37,11.62,2.39,156,Unhealthy,6.4,38.6,0.293,2.27,16.71,37.6
Balochistan,Chaman,2018-06-01,75.35,81.11,19.71,20.84,49.89,19.0,1.57,20.85,62.84,2.25,7.51,3.71,161,Unhealthy,17.7,44.8,0.27,2.46,16.84,37.5
Balochistan,Chaman,2018-07-01,39.12,72.73,30.92,25.51,44.18,21.19,1.67,11.72,32.64,3.98,8.92,2.0,110,Unhealthy for Sensitive Groups,4.5,56.7,0.16,2.08,16.96,38.1
Balochistan,Chaman,2018-08-01,44.0,106.15,15.6,25.53,44.64,20.54,1.49,14.15,30.31,2.77,2.84,1.74,122,Unhealthy for Sensitive Groups,15.9,78.5,0.219,1.54,17.14,37.9
Balochistan,Chaman,2018-09-01,50.37,120.34,25.31,54.81,36.08,12.33,1.62,15.83,59.69,3.56,10.22,1.1,138,Unhealthy for Sensitive Groups,9.6,73.5,0.221,2.17,17.01,37.6
Balochistan,Chaman,2018-10-01,53.74,90.18,34.57,42.46,32.33,19.47,1.12,26.99,51.82,2.86,10.59,5.05,146,Unhealthy for Sensitive Groups,4.4,47.4,0.16,3.31,16.48,38.1
Balochistan,Chaman,2018-11-01,159.78,160.37,53.57,88.96,74.04,44.23,2.19,35.57,82.17,4.43,17.94,1.39,210,Very Unhealthy,2.4,56.5,0.233,3.02,16.69,38.0
Balochistan,Chaman,2018-12-01,147.17,177.39,38.64,96.04,106.88,20.89,2.19,21.56,73.87,3.69,12.81,5.0,198,Unhealthy,3.9,55.7,0.198,2.92,16.8,37.7
Balochistan,Chaman,2019-01-01,152.47,250.13,23.98,76.03,114.98,38.29,3.22,22.51,118.07,7.99,14.76,1.73,203,Very Unhealthy,4.8,71.8,0.139,1.64,17.06,38.6
Balochistan,Chaman,2019-02-01,124.02,226.8,52.46,54.47,87.94,30.82,2.25,30.1,106.78,6.97,5.62,1.21,186,Unhealthy,4.3,57.9,0.122,2.17,16.59,38.7
Balochistan,Chaman,2019-03-01,62.74,113.02,28.08,51.99,51.66,30.88,1.38,19.22,43.82,4.99,6.83,1.57,155,Unhealthy,6.2,41.4,0.153,0.72,16.82,38.3
Balochistan,Chaman,2019-04-01,57.09,119.34,31.4,25.91,68.91,20.83,2.65,26.6,43.02,4.32,5.94,3.02,152,Unhealthy,11.6,44.4,0.214,1.73,17.46,38.5
Balochistan,Chaman,2019-05-01,47.68,155.93,26.5,22.69,52.42,22.28,1.43,20.62,52.35,5.46,3.78,3.28,131,Unhealthy for Sensitive Groups,8.0,49.0,0.202,2.36,17.64,38.4
Balochistan,Chaman,2019-06-01,29.53,61.88,17.22,52.01,29.92,13.95,1.14,16.97,56.39,2.64,6.78,3.04,88,Moderate,15.8,48.5,0.147,0.23,17.38,38.5
Balochistan,Chaman,2019-07-01,74.61,127.74,16.67,34.46,41.43,10.33,1.4,20.04,46.67,3.94,6.89,1.42,161,Unhealthy,6.7,61.3,0.238,3.51,17.05,38.4
Balochistan,Chaman,2019-08-01,30.65,108.3,21.16,29.11,30.12,13.54,1.48,11.91,55.36,4.22,3.54,2.77,90,Moderate,11.5,88.2,0.306,1.38,17.4,38.4
Balochistan,Chaman,2019-09-01,79.05,109.56,15.92,28.17,53.94,19.88,1.94,17.57,57.4,1.36,6.55,0.85,163,Unhealthy,9.4,73.7,0.103,4.16,17.49,38.7
Balochistan,Chaman,2019-10-01,61.77,151.7,20.81,60.12,52.31,33.03,3.21,29.56,52.52,1.41,4.01,1.88,154,Unhealthy,4.7,41.5,0.126,1.88,16.98,38.7
Balochistan,Chaman,2019-11-01,116.82,276.0,28.07,91.56,62.63,32.43,4.5,37.51,70.56,2.57,20.54,2.01,183,Unhealthy,4.3,48.2,0.244,0.49,17.09,38.5
Balochistan,Chaman,2019-12-01,129.55,243.29,44.94,45.7,113.82,44.11,4.53,34.28,91.45,4.05,18.47,3.06,189,Unhealthy,2.6,58.3,0.099,1.59,17.39,38.6
Balochistan,Chaman,2020-01-01,99.58,228.33,61.37,87.66,114.45,22.35,2.94,32.69,66.36,5.13,17.07,3.79,174,Unhealthy,2.1,67.2,0.136,1.71,17.6,39.1
Balochistan,Chaman,2020-02-01,95.11,204.51,29.32,67.13,39.95,19.07,3.75,38.26,112.44,5.53,10.46,5.03,171,Unhealthy,9.0,46.3,0.171,2.37,17.79,39.3
Balochistan,Chaman,2020-03-01,50.6,62.1,25.65,39.4,48.91,8.73,1.3,8.9,43.91,3.83,9.89,2.16,138,Unhealthy for Sensitive Groups,10.3,60.5,0.222,1.25,17.45,39.1
Balochistan,Chaman,2020-04-01,14.94,70.48,9.07,24.49,19.47,6.48,0.76,9.02,16.74,1.23,2.69,0.93,57,Moderate,9.5,31.7,0.219,2.4,18.03,39.1
Balochistan,Chaman,2020-05-01,25.2,49.16,14.15,20.14,25.11,9.77,1.2,9.87,19.29,1.09,3.38,0.8,79,Moderate,18.2,48.3,0.103,2.94,17.29,39.3
Balochistan,Chaman,2020-06-01,48.6,112.01,15.64,18.43,22.93,14.17,0.83,15.45,51.89,1.77,8.05,1.95,133,Unhealthy for Sensitive Groups,11.3,40.3,0.141,1.99,17.37,38.9
Balochistan,Chaman,2020-07-01,55.69,55.43,27.57,19.55,56.38,9.43,2.05,14.35,60.18,2.12,1.92,3.21,151,Unhealthy,16.4,81.1,0.288,2.9,17.77,39.2
Balochistan,Chaman,2020-08-01,66.41,74.28,21.06,37.23,27.32,9.46,1.63,14.35,24.35,1.73,7.82,1.25,157,Unhealthy,12.7,83.1,0.146,2.25,17.54,39.2
Balochistan,Chaman,2020-09-01,83.67,84.04,17.81,40.69,70.29,16.4,0.74,16.09,63.46,1.95,5.12,1.11,166,Unhealthy,4.6,77.7,0.143,1.62,17.75,39.2
Balochistan,Chaman,2020-10-01,52.7,101.17,42.18,45.42,68.19,30.27,1.7,15.96,102.3,2.24,4.79,3.13,143,Unhealthy for Sensitive Groups,7.9,46.0,0.182,1.49,17.6,39.8
Balochistan,Chaman,2020-11-01,138.17,196.88,59.7,93.19,101.82,32.56,3.16,13.94,129.26,9.11,18.77,7.86,194,Unhealthy,1.0,53.0,0.202,2.07,18.2,38.9
Balochistan,Chaman,2020-12-01,169.84,292.08,54.61,96.74,109.83,18.72,4.51,45.62,99.17,8.63,8.82,5.74,220,Very Unhealthy,5.2,50.0,0.18,3.0,17.87,39.0
Balochistan,Chaman,2021-01-01,127.26,244.91,28.53,57.36,77.65,18.25,2.94,35.36,116.6,3.46,17.94,1.15,188,Unhealthy,3.2,59.4,0.157,3.25,17.86,40.2
Balochistan,Chaman,2021-02-01,61.3,144.09,31.74,76.35,97.65,26.86,2.12,18.37,112.48,4.81,6.77,5.93,154,Unhealthy,9.0,54.9,0.357,2.05,18.13,39.7
Balochistan,Chaman,2021-03-01,103.55,98.96,31.82,64.31,73.01,26.57,2.4,32.59,49.47,2.08,12.02,4.53,176,Unhealthy,7.8,47.9,0.174,3.86,17.94,39.5
Balochistan,Chaman,2021-04-01,79.26,145.44,22.35,61.46,29.68,12.52,1.19,24.95,46.29,4.28,13.08,1.06,163,Unhealthy,13.0,33.3,0.017,1.41,17.86,39.8
Balochistan,Chaman,2021-05-01,56.45,144.82,18.13,40.14,27.24,9.44,1.62,14.41,55.95,1.49,10.3,3.97,151,Unhealthy,12.0,27.6,0.133,1.49,18.04,39.8
Balochistan,Chaman,2021-06-01,57.8,121.64,13.55,31.78,35.92,13.72,1.3,11.02,32.01,4.72,6.09,3.86,152,Unhealthy,8.5,42.9,0.185,2.5,17.59,39.7
Balochistan,Chaman,2021-07-01,62.18,142.58,12.86,50.86,17.01,16.79,0.99,14.16,31.78,3.61,5.14,2.2,154,Unhealthy,7.7,68.0,0.111,2.2,18.55,39.9
Balochistan,Chaman,2021-08-01,59.27,79.17,23.29,42.29,25.34,8.84,1.94,8.56,41.02,3.92,2.24,0.37,153,Unhealthy,6.6,72.8,0.129,0.44,18.21,40.2
Balochistan,Chaman,2021-09-01,67.67,154.36,13.67,49.46,23.79,16.53,1.86,23.07,72.78,2.32,6.41,2.02,157,Unhealthy,6.0,79.6,0.226,0.91,18.63,39.5
Balochistan,Chaman,2021-10-01,62.52,132.08,46.31,70.51,60.81,10.45,3.44,13.78,63.48,6.45,14.34,1.82,155,Unhealthy,3.4,54.8,0.202,0.5,18.12,40.1
Balochistan,Chaman,2021-11-01,91.48,264.64,60.04,95.53,45.12,28.49,2.93,41.55,110.34,5.88,5.82,3.55,170,Unhealthy,6.8,65.3,0.235,0.15,17.77,39.9
Balochistan,Chaman,2021-12-01,104.03,181.45,54.42,65.11,61.64,20.47,1.7,26.29,137.77,3.92,6.52,6.59,176,Unhealthy,5.3,66.4,0.107,2.59,18.18,40.1
Balochistan,Chaman,2022-01-01,62.46,272.49,47.84,53.85,71.42,21.58,1.38,16.93,100.48,7.31,14.95,6.05,155,Unhealthy,7.4,52.2,0.205,1.25,19.35,40.7
Balochistan,Chaman,2022-02-01,57.42,157.59,25.84,35.76,87.5,28.56,1.59,13.92,101.36,4.13,15.59,2.91,152,Unhealthy,2.6,61.3,0.152,1.95,18.57,40.5
Balochistan,Chaman,2022-03-01,73.64,121.04,32.27,45.42,60.47,20.15,2.12,26.25,85.58,3.37,5.29,1.8,160,Unhealthy,11.5,54.9,0.207,2.14,18.51,40.8
Balochistan,Chaman,2022-04-01,76.46,77.22,25.88,30.88,44.68,15.77,2.73,25.97,77.86,5.11,5.46,0.7,162,Unhealthy,14.9,40.0,0.206,3.81,18.65,40.8
Balochistan,Chaman,2022-05-01,39.16,70.36,34.06,33.5,25.79,8.91,1.88,24.6,65.75,3.88,9.02,1.46,110,Unhealthy for Sensitive Groups,11.0,34.5,0.126,2.96,18.74,40.9
Balochistan,Chaman,2022-06-01,78.66,145.27,17.52,46.36,38.52,22.1,1.8,22.93,60.56,2.75,9.0,1.79,163,Unhealthy,8.9,52.0,0.136,0.9,18.39,40.5
Balochistan,Chaman,2022-07-01,59.6,118.65,11.21,17.56,19.94,17.11,1.69,8.65,37.23,2.68,3.75,1.68,153,Unhealthy,18.4,68.1,0.176,0.63,18.65,40.8
Balochistan,Chaman,2022-08-01,33.11,83.15,19.27,37.06,60.48,11.24,1.89,21.18,44.24,1.75,7.39,1.95,95,Moderate,11.5,69.1,0.258,1.32,18.02,40.5
Balochistan,Chaman,2022-09-01,32.75,74.12,26.97,31.86,31.35,16.21,1.69,15.7,49.12,4.04,1.78,4.06,94,Moderate,4.6,60.4,0.177,1.32,18.48,40.9
Balochistan,Chaman,2022-10-01,99.35,114.98,29.47,57.99,55.34,21.93,1.53,29.53,41.83,3.63,3.1,4.86,174,Unhealthy,7.9,54.4,0.243,2.29,18.85,40.6
Balochistan,Chaman,2022-11-01,129.58,288.81,33.79,99.41,44.24,34.93,2.29,25.86,113.07,6.65,10.94,3.68,189,Unhealthy,3.7,64.3,0.309,2.88,18.13,40.8
Balochistan,Chaman,2022-12-01,167.31,289.51,39.53,45.5,89.67,28.43,2.23,39.9,121.9,4.9,22.67,4.81,218,Very Unhealthy,1.4,53.8,0.232,2.39,19.15,40.7
Balochistan,Chaman,2023-01-01,63.73,249.68,39.86,91.93,52.44,16.28,3.26,42.56,111.47,3.12,13.2,4.07,155,Unhealthy,5.4,53.3,0.131,3.29,19.09,41.5
Balochistan,Chaman,2023-02-01,72.41,152.64,35.07,84.04,31.32,33.13,3.59,33.26,86.9,7.86,14.58,5.56,160,Unhealthy,5.0,67.6,0.186,3.26,19.13,41.2
Balochistan,Chaman,2023-03-01,74.62,107.1,18.26,45.92,77.08,22.79,2.18,28.21,38.13,1.83,6.53,0.66,161,Unhealthy,2.4,48.9,0.212,0.47,19.27,41.6
Balochistan,Chaman,2023-04-01,50.62,152.65,25.26,55.43,40.45,18.56,2.02,22.18,51.48,4.86,3.56,1.16,138,Unhealthy for Sensitive Groups,5.9,45.6,0.199,1.1,18.61,41.6
Balochistan,Chaman,2023-05-01,87.39,79.78,29.8,49.67,47.48,15.75,1.87,8.74,48.63,2.8,9.43,3.8,167,Unhealthy,8.0,39.8,0.145,0.72,18.97,41.0
Balochistan,Chaman,2023-06-01,56.53,130.19,29.91,26.36,37.64,14.88,1.23,13.75,51.53,1.73,3.13,0.65,152,Unhealthy,6.2,52.2,0.109,1.64,18.98,41.7
Balochistan,Chaman,2023-07-01,32.35,116.75,24.24,18.95,29.24,17.54,2.02,13.35,22.79,2.27,3.74,2.47,94,Moderate,15.8,61.8,0.265,0.57,19.06,41.4
Balochistan,Chaman,2023-08-01,60.66,85.32,17.31,47.89,47.28,11.5,1.26,14.26,45.75,1.85,9.15,2.76,154,Unhealthy,13.8,79.4,0.248,2.56,18.72,40.9
Balochistan,Chaman,2023-09-01,45.08,71.5,32.48,48.16,43.42,17.04,1.54,23.23,57.84,3.67,4.27,2.68,125,Unhealthy for Sensitive Groups,6.1,63.8,0.22,1.68,19.21,41.2
Balochistan,Chaman,2023-10-01,94.66,137.88,42.17,36.36,38.4,17.44,2.04,15.74,49.15,6.44,12.77,3.09,171,Unhealthy,2.6,60.8,0.17,1.98,18.97,41.0
Balochistan,Chaman,2023-11-01,115.96,112.13,57.76,103.28,86.51,31.28,4.41,22.25,125.49,5.13,22.04,1.14,182,Unhealthy,4.0,54.0,0.216,1.23,19.02,41.3
Balochistan,Chaman,2023-12-01,109.51,201.6,63.02,80.6,56.91,22.65,3.94,20.95,131.08,9.56,23.48,3.97,179,Unhealthy,3.8,70.2,0.227,1.16,18.97,41.3
Balochistan,Chaman,2024-01-01,99.29,224.82,17.27,84.02,93.43,15.03,2.1,16.56,85.0,8.3,9.19,5.75,174,Unhealthy,5.5,58.5,0.184,1.05,19.24,42.2
Balochistan,Chaman,2024-02-01,52.64,250.13,52.11,32.98,89.46,35.98,1.85,13.69,97.24,2.69,11.89,4.16,143,Unhealthy for Sensitive Groups,10.2,60.6,0.193,2.02,19.56,41.9
Balochistan,Chaman,2024-03-01,57.99,178.73,37.44,44.29,68.01,17.63,1.0,20.28,86.41,5.46,10.66,1.04,152,Unhealthy,4.4,58.5,0.245,2.2,19.56,42.3
Balochistan,Chaman,2024-04-01,79.84,151.04,29.57,35.37,60.18,19.09,1.36,15.24,55.67,2.54,3.05,2.88,164,Unhealthy,10.6,35.4,0.166,1.54,19.62,42.0
Balochistan,Chaman,2024-05-01,39.55,156.38,19.48,43.88,41.82,23.9,2.22,13.56,28.2,3.57,11.04,3.64,111,Unhealthy for Sensitive Groups,15.5,31.7,0.145,2.47,19.24,41.7
Balochistan,Chaman,2024-06-01,61.55,98.15,13.79,30.73,55.52,9.5,2.14,23.37,42.28,2.3,3.67,1.33,154,Unhealthy,7.7,39.7,0.217,2.23,19.25,41.8
Balochistan,Chaman,2024-07-01,35.8,55.44,10.48,23.41,38.83,17.48,2.2,12.47,23.22,3.12,3.33,2.5,102,Unhealthy for Sensitive Groups,13.4,65.3,0.167,-0.72,19.66,42.1
Balochistan,Chaman,2024-08-01,35.58,110.91,28.69,21.6,52.12,19.77,1.88,18.33,22.61,3.59,8.59,3.09,101,Unhealthy for Sensitive Groups,10.2,63.8,0.184,1.39,19.33,42.1
Balochistan,Chaman,2024-09-01,88.92,168.55,27.74,52.77,18.85,12.22,1.2,19.73,44.4,2.74,8.21,2.87,168,Unhealthy,7.1,62.7,0.168,0.74,19.33,41.9
Balochistan,Chaman,2024-10-01,92.72,196.43,30.39,68.69,68.46,20.31,2.31,15.81,88.8,3.46,6.47,4.43,170,Unhealthy,4.3,48.8,0.218,1.85,19.59,42.1
Balochistan,Chaman,2024-11-01,53.15,267.88,30.04,58.4,70.16,17.83,4.64,18.4,123.73,8.17,21.71,3.36,144,Unhealthy for Sensitive Groups,7.1,47.2,0.143,1.96,19.38,42.1
Balochistan,Chaman,2024-12-01,124.71,219.28,31.59,58.01,98.23,31.99,2.24,16.29,117.94,7.09,14.48,2.13,187,Unhealthy,4.9,81.8,0.17,1.64,19.51,42.0
Balochistan,Chaman,2025-01-01,87.75,224.55,22.63,52.75,103.05,26.83,2.55,22.37,117.09,3.22,20.3,1.21,168,Unhealthy,1.4,66.5,0.13,3.25,19.48,43.1
Balochistan,Chaman,2025-02-01,63.87,141.31,44.18,41.49,54.44,33.77,2.82,37.42,57.08,6.8,14.81,3.96,155,Unhealthy,2.0,62.9,0.214,1.5,20.95,42.8
