Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Central,Belgorod,2018-01-01,36.92,69.46,21.69,51.59,71.34,13.19,0.8,12.22,46.33,2.11,7.9,1.98,105.0,Unhealthy for Sensitive Groups,11.5,86.2,0.214,1.86,152.89,59.8
Central,Belgorod,2018-02-01,24.76,53.11,14.0,23.96,37.52,12.99,0.94,13.39,48.98,0.64,2.67,0.53,78.0,Moderate,11.8,71.1,0.0,2.49,148.8,60.1
Central,Belgorod,2018-03-01,31.34,50.47,21.92,19.91,48.89,6.03,1.35,16.11,45.84,0.6,4.9,2.06,91.0,Moderate,5.2,71.1,0.12,1.99,152.92,59.9
Central,Belgorod,2018-04-01,20.49,41.87,14.53,27.72,33.98,10.36,,8.76,70.81,1.16,,1.21,69.0,Moderate,10.3,64.1,0.0,3.3,155.95,59.6
Central,Belgorod,2018-05-01,18.52,26.02,16.71,25.6,28.07,6.63,0.66,4.99,33.43,0.46,2.27,0.83,64.0,Moderate,7.9,61.1,0.168,2.23,153.91,59.7
Central,Belgorod,2018-06-01,16.67,26.25,9.01,23.7,17.96,2.32,0.94,6.09,42.58,1.82,1.03,0.43,61.0,Moderate,7.9,56.2,0.206,0.3,154.92,59.8
Central,Belgorod,2018-07-01,19.77,42.41,11.61,9.22,20.24,5.14,0.44,8.4,56.89,1.51,5.49,0.9,67.0,Moderate,9.6,73.2,0.243,4.09,155.31,59.9
Central,Belgorod,2018-08-01,25.61,40.61,15.84,30.33,37.19,3.91,0.4,8.39,22.81,1.23,3.15,0.33,79.0,Moderate,6.1,76.3,0.111,2.39,156.14,59.7
Central,Belgorod,2018-09-01,17.46,31.77,11.87,28.41,13.31,,0.36,8.61,57.28,1.11,4.52,0.84,62.0,Moderate,6.3,81.0,0.097,1.58,152.49,59.6
Central,Belgorod,2018-10-01,18.29,38.48,,35.5,19.42,,0.9,7.27,69.65,1.88,3.13,2.06,64.0,Moderate,11.3,74.0,0.043,1.58,154.03,59.7
Central,Belgorod,2018-11-01,18.97,39.71,14.84,34.01,66.31,13.35,1.42,19.51,85.47,3.07,8.51,1.53,65.0,Moderate,4.5,91.6,0.048,-0.97,155.17,59.8
Central,Belgorod,2018-12-01,37.63,68.41,28.05,37.17,51.39,4.03,1.39,13.97,94.88,0.67,2.29,0.94,106.0,Unhealthy for Sensitive Groups,10.3,79.3,0.176,3.08,150.33,59.7
Central,Belgorod,2019-01-01,22.07,50.98,26.04,41.89,25.86,6.09,1.05,17.52,117.44,1.58,8.96,0.61,72.0,Moderate,5.4,76.0,0.126,2.45,153.49,59.6
Central,Belgorod,2019-02-01,24.68,59.27,7.77,36.82,57.3,5.09,1.39,14.07,82.75,2.94,5.8,2.56,77.0,Moderate,7.6,78.1,0.084,2.46,153.57,59.7
Central,Belgorod,2019-03-01,29.33,30.48,19.63,27.4,46.77,9.86,1.23,5.62,66.38,2.6,5.45,1.81,87.0,Moderate,13.9,78.4,0.0,1.54,147.85,59.8
Central,Belgorod,2019-04-01,26.44,31.94,10.21,22.65,43.32,5.23,1.16,13.97,67.67,2.3,1.98,0.53,81.0,Moderate,6.4,65.5,0.082,2.22,158.49,59.7
Central,Belgorod,2019-05-01,18.62,29.77,16.26,24.44,30.94,5.48,0.92,6.76,52.32,1.09,3.99,0.25,65.0,Moderate,12.9,56.6,0.111,2.02,155.59,59.7
Central,Belgorod,2019-06-01,8.97,18.86,14.28,20.95,17.86,7.77,0.35,9.4,,0.5,3.05,1.18,37.0,Good,10.4,75.2,0.094,0.5,148.26,59.8
Central,Belgorod,2019-07-01,16.96,22.24,16.15,19.84,31.76,8.21,1.14,9.07,37.94,1.04,1.9,,61.0,Moderate,5.3,75.1,0.098,1.72,153.7,59.6
Central,Belgorod,2019-08-01,8.51,22.78,19.44,17.21,23.46,2.59,0.46,6.64,42.98,1.86,6.25,1.48,35.0,Good,7.5,82.8,0.13,2.35,153.32,59.6
Central,Belgorod,2019-09-01,14.74,20.88,12.79,22.91,34.47,5.84,0.54,10.05,62.1,1.23,2.16,1.57,57.0,Moderate,10.3,78.7,0.135,1.72,157.15,59.8
Central,Belgorod,2019-10-01,11.94,44.87,23.75,29.27,44.41,0.7,1.35,2.99,50.01,0.51,3.33,0.37,50.0,Good,12.3,83.0,0.0,0.94,151.16,59.6
Central,Belgorod,2019-11-01,13.0,40.42,23.45,33.41,34.0,8.74,1.34,18.08,89.91,2.65,,1.95,53.0,Moderate,13.6,79.0,0.039,1.36,153.2,59.9
Central,Belgorod,2019-12-01,40.38,70.71,21.08,59.35,39.89,3.94,1.67,8.86,55.68,3.27,2.7,,113.0,Unhealthy for Sensitive Groups,11.5,83.1,0.167,0.6,156.85,59.6
Central,Belgorod,2020-01-01,37.81,32.92,23.74,31.3,51.93,6.91,1.69,18.09,47.77,2.17,11.32,2.42,107.0,Unhealthy for Sensitive Groups,10.9,77.3,0.15,0.4,152.23,59.5
Central,Belgorod,2020-02-01,30.72,31.25,14.77,38.62,30.69,12.04,0.62,13.93,76.88,2.17,1.35,0.57,90.0,Moderate,10.5,81.1,0.164,0.38,151.66,59.6
Central,Belgorod,2020-03-01,25.5,30.39,10.48,38.15,33.25,3.27,0.81,4.98,76.33,2.45,2.42,0.58,79.0,Moderate,16.3,76.7,0.163,1.24,152.99,59.8
Central,Belgorod,2020-04-01,9.98,27.57,9.19,16.86,26.37,2.04,0.93,6.7,25.74,0.92,2.53,0.95,42.0,Good,2.6,62.5,0.053,4.15,150.6,59.5
Central,Belgorod,2020-05-01,16.05,9.64,6.15,15.41,14.63,2.98,0.69,1.45,34.18,0.69,2.49,0.68,59.0,Moderate,11.2,61.7,0.115,1.82,155.78,59.6
Central,Belgorod,2020-06-01,10.43,17.08,7.36,12.78,24.65,5.81,0.26,,45.68,1.61,4.44,0.94,43.0,Good,4.7,55.8,0.0,2.19,155.72,59.8
Central,Belgorod,2020-07-01,17.3,22.19,15.28,17.71,28.85,6.88,0.92,7.16,46.93,1.1,4.16,1.08,62.0,Moderate,11.8,71.6,0.222,3.67,157.28,59.7
Central,Belgorod,2020-08-01,,30.28,19.34,22.11,33.4,3.67,1.05,13.56,59.48,1.72,2.68,,,,6.2,77.6,0.058,2.57,160.06,59.6
Central,Belgorod,2020-09-01,14.6,44.14,16.74,17.02,41.57,6.78,0.77,10.96,72.41,0.55,2.52,0.97,56.0,Moderate,4.7,72.4,0.0,3.81,153.89,59.7
Central,Belgorod,2020-10-01,22.34,49.19,6.92,37.75,18.34,6.25,0.81,13.31,51.92,0.81,7.0,1.53,73.0,Moderate,6.7,86.0,0.009,0.47,150.45,59.6
Central,Belgorod,2020-11-01,25.2,48.03,20.82,,61.22,8.04,0.85,6.27,55.07,1.03,9.09,2.32,79.0,Moderate,16.3,80.9,0.223,4.57,156.75,59.5
Central,Belgorod,2020-12-01,34.54,47.79,19.13,31.74,56.79,3.58,1.63,7.48,65.03,1.43,3.49,0.77,98.0,Moderate,8.8,91.3,0.0,-0.05,161.09,59.6
Central,Belgorod,2021-01-01,40.02,83.02,33.8,53.83,39.24,16.51,2.24,18.68,71.13,3.16,,0.41,112.0,Unhealthy for Sensitive Groups,7.0,80.8,0.232,1.38,155.69,59.5
Central,Belgorod,2021-02-01,16.24,58.81,23.47,41.48,18.86,4.9,0.87,17.46,86.1,2.01,8.75,1.68,60.0,Moderate,13.4,77.8,0.128,2.38,151.1,59.6
Central,Belgorod,2021-03-01,16.68,52.96,19.15,21.65,41.54,8.82,0.81,13.43,78.75,2.12,5.05,1.73,61.0,Moderate,14.3,64.7,0.11,-0.0,156.73,59.6
Central,Belgorod,2021-04-01,28.4,14.62,21.9,30.29,42.6,4.84,0.8,,70.57,2.27,,0.92,85.0,Moderate,11.3,66.3,0.225,-0.19,156.38,59.7
Central,Belgorod,2021-05-01,15.4,30.86,8.19,29.14,33.61,1.31,0.78,9.57,23.49,1.32,1.81,,58.0,Moderate,15.1,58.4,0.2,2.56,153.61,59.6
Central,Belgorod,2021-06-01,20.1,24.35,12.23,17.94,20.49,2.28,0.83,5.96,49.54,1.06,3.79,0.32,68.0,Moderate,10.3,71.2,0.135,0.49,155.42,59.9
Central,Belgorod,2021-07-01,20.51,32.7,12.41,21.29,35.48,5.39,0.67,4.63,45.05,1.11,4.5,1.04,69.0,Moderate,3.8,75.0,0.26,1.39,150.99,59.6
Central,Belgorod,2021-08-01,18.57,,10.34,32.38,,2.29,1.24,12.74,56.27,1.58,3.78,0.83,65.0,Moderate,9.6,79.4,0.109,0.78,154.26,59.6
Central,Belgorod,2021-09-01,23.78,39.09,6.34,,23.35,4.95,1.01,7.16,28.89,1.28,,1.59,76.0,Moderate,13.5,86.2,0.092,2.54,158.24,59.5
Central,Belgorod,2021-10-01,27.29,49.52,15.01,27.17,16.17,6.31,0.51,3.39,42.73,1.16,7.38,0.7,83.0,Moderate,11.9,82.7,0.04,4.48,160.22,59.6
Central,Belgorod,2021-11-01,29.15,64.99,36.07,50.06,21.67,,0.82,6.87,85.92,1.33,4.45,1.06,87.0,Moderate,10.6,81.3,0.031,2.16,152.81,59.4
Central,Belgorod,2021-12-01,25.32,72.4,32.05,44.13,59.4,13.76,1.78,7.52,107.05,1.92,5.32,1.0,79.0,Moderate,11.7,88.9,0.248,3.48,151.32,59.5
Central,Belgorod,2022-01-01,32.89,53.04,14.68,61.32,73.2,,1.67,16.27,108.84,4.01,11.46,1.6,95.0,Moderate,9.7,79.5,0.211,1.86,158.47,59.4
Central,Belgorod,2022-02-01,,59.09,24.94,43.12,25.42,11.37,0.96,10.58,83.06,0.96,4.5,2.3,,,7.2,84.7,0.112,0.47,161.76,59.3
Central,Belgorod,2022-03-01,12.38,,10.14,22.9,,8.87,1.24,5.72,41.42,0.65,4.71,1.34,52.0,Moderate,7.7,75.6,0.111,4.3,162.3,59.6
Central,Belgorod,2022-04-01,22.5,36.83,10.03,34.78,37.27,2.1,1.05,12.89,31.24,1.35,3.87,0.9,73.0,Moderate,13.5,59.8,0.014,1.56,156.41,59.3
Central,Belgorod,2022-05-01,9.14,42.05,7.73,24.18,32.6,6.9,0.81,10.12,36.81,1.44,0.8,0.42,38.0,Good,7.2,52.9,0.066,2.18,156.18,59.4
Central,Belgorod,2022-06-01,16.77,18.46,15.24,14.11,33.93,7.68,1.11,5.2,24.84,1.41,2.41,0.77,61.0,Moderate,6.8,58.9,0.06,1.2,151.96,59.7
Central,Belgorod,2022-07-01,10.39,27.6,18.81,31.21,15.34,4.8,0.85,7.35,61.28,1.01,,1.37,43.0,Good,8.4,73.8,0.154,1.99,155.14,59.5
Central,Belgorod,2022-08-01,23.31,16.27,15.48,21.15,32.4,5.62,0.96,10.06,45.71,1.06,0.84,0.37,75.0,Moderate,8.7,77.3,0.134,1.49,152.22,59.6
Central,Belgorod,2022-09-01,14.9,38.85,9.83,15.42,11.65,,0.54,3.71,23.38,1.99,3.99,0.88,57.0,Moderate,10.4,74.1,0.229,5.24,156.34,59.4
Central,Belgorod,2022-10-01,16.53,46.38,13.55,41.64,25.52,8.6,1.24,8.82,61.08,1.1,5.19,0.41,60.0,Moderate,17.8,83.7,0.045,5.63,155.15,59.5
Central,Belgorod,2022-11-01,30.47,38.03,17.03,24.03,54.08,4.09,1.49,16.78,57.46,1.63,2.56,0.74,90.0,Moderate,17.6,88.3,0.169,3.14,157.63,59.7
Central,Belgorod,2022-12-01,30.0,44.19,21.34,26.56,47.42,6.26,1.1,14.11,111.62,1.5,,0.55,89.0,Moderate,10.5,94.0,0.111,0.3,156.44,59.6
Central,Belgorod,2023-01-01,40.4,54.53,,50.97,52.49,14.71,1.34,12.98,112.93,3.3,5.23,2.68,113.0,Unhealthy for Sensitive Groups,6.5,87.8,0.126,3.27,153.89,59.7
Central,Belgorod,2023-02-01,33.99,50.92,23.4,49.84,33.73,8.84,0.94,13.99,47.88,2.68,6.76,1.77,97.0,Moderate,10.3,72.8,0.077,-0.41,154.9,59.5
Central,Belgorod,2023-03-01,21.96,39.14,24.28,31.52,28.34,6.35,0.72,7.39,30.15,1.34,5.75,1.9,72.0,Moderate,8.3,72.6,0.055,0.26,153.24,59.5
Central,Belgorod,2023-04-01,15.79,33.13,19.89,25.45,34.3,3.71,1.15,3.8,44.9,1.6,2.63,0.52,59.0,Moderate,9.5,56.6,0.023,3.72,152.17,59.5
Central,Belgorod,2023-05-01,13.2,40.88,17.42,23.38,25.6,2.75,0.53,7.67,42.23,0.5,2.63,1.45,53.0,Moderate,15.7,54.1,0.04,3.28,158.54,59.4
Central,Belgorod,2023-06-01,,27.66,15.96,26.16,35.78,4.26,0.4,6.74,47.93,0.98,5.66,0.3,,,7.2,67.3,0.095,-0.13,161.07,59.3
Central,Belgorod,2023-07-01,13.29,21.95,14.18,27.35,17.31,1.83,0.62,7.42,41.94,1.26,5.49,0.31,54.0,Moderate,10.2,64.6,0.018,4.1,149.66,59.4
Central,Belgorod,2023-08-01,16.02,36.32,18.68,29.02,28.66,3.69,0.47,6.99,43.5,1.96,6.67,0.29,59.0,Moderate,5.1,71.7,0.092,2.04,154.07,59.4
Central,Belgorod,2023-09-01,11.7,37.43,14.2,22.36,43.56,4.26,0.27,3.97,52.37,1.92,2.8,0.79,49.0,Good,13.8,71.3,0.071,2.93,159.37,59.4
Central,Belgorod,2023-10-01,35.03,33.98,25.7,,17.26,8.56,1.33,14.28,59.89,1.75,8.57,,99.0,Moderate,5.1,88.4,0.0,4.02,160.1,59.6
Central,Belgorod,2023-11-01,30.2,36.46,10.7,44.47,33.02,3.32,1.53,17.59,,0.84,5.03,0.93,89.0,Moderate,7.9,89.3,0.0,1.1,154.7,59.4
Central,Belgorod,2023-12-01,34.05,50.39,30.47,32.21,57.91,6.47,0.48,7.25,41.0,0.76,2.99,1.53,97.0,Moderate,8.9,90.6,0.0,-0.6,160.19,59.5
Central,Belgorod,2024-01-01,38.94,38.71,22.87,28.27,27.79,5.01,1.97,20.1,51.34,,13.03,2.74,109.0,Unhealthy for Sensitive Groups,6.1,78.2,0.0,2.57,157.47,59.5
Central,Belgorod,2024-02-01,20.92,35.01,24.67,44.94,72.9,8.86,1.54,7.46,63.43,1.86,,0.33,70.0,Moderate,7.6,77.4,0.14,2.76,161.71,59.4
Central,Belgorod,2024-03-01,18.97,52.5,,35.0,30.41,7.61,0.91,14.75,,1.08,7.51,,65.0,Moderate,16.1,76.2,0.09,2.25,152.03,59.2
Central,Belgorod,2024-04-01,14.72,28.27,13.32,30.05,46.5,6.45,0.75,4.93,47.47,1.96,1.91,0.29,57.0,Moderate,16.2,66.2,0.249,6.01,156.42,59.6
Central,Belgorod,2024-05-01,24.05,35.19,11.6,23.62,26.15,5.31,1.18,12.58,25.25,1.78,1.37,0.61,76.0,Moderate,8.5,52.3,0.077,2.22,154.87,59.6
Central,Belgorod,2024-06-01,23.61,17.93,14.61,28.5,8.68,4.06,0.76,5.09,51.74,1.01,3.06,0.24,75.0,Moderate,4.2,66.1,0.244,0.87,154.17,59.4
Central,Belgorod,2024-07-01,13.35,33.43,5.9,14.82,21.29,4.23,0.8,11.47,37.36,1.54,3.63,1.13,54.0,Moderate,7.0,58.4,0.167,3.4,163.2,59.1
Central,Belgorod,2024-08-01,8.05,19.57,10.56,13.86,29.77,,0.45,7.84,25.39,1.13,5.16,0.39,34.0,Good,7.6,79.9,0.22,2.29,157.59,59.4
Central,Belgorod,2024-09-01,17.29,19.21,18.64,29.82,21.39,3.46,0.38,7.91,54.73,1.15,1.55,1.65,62.0,Moderate,4.8,71.3,0.081,2.19,156.59,59.4
Central,Belgorod,2024-10-01,23.41,43.74,19.83,25.28,10.4,1.54,1.07,13.05,64.37,,,0.71,75.0,Moderate,8.9,84.9,0.361,1.88,163.29,59.5
Central,Belgorod,2024-11-01,12.16,40.02,29.54,,42.3,5.76,1.13,5.35,54.79,1.9,2.36,1.26,51.0,Moderate,9.0,91.9,0.0,3.55,160.88,59.3
Central,Belgorod,2024-12-01,33.07,42.34,25.15,47.08,61.56,5.54,2.02,10.27,71.95,1.32,11.5,1.98,95.0,Moderate,11.7,79.1,0.04,2.09,156.64,59.3
Central,Belgorod,2025-01-01,38.73,76.44,17.03,33.42,53.96,16.96,1.21,15.3,125.89,1.35,13.23,2.67,109.0,Unhealthy for Sensitive Groups,10.9,83.0,0.204,3.07,162.3,59.4
Central,Belgorod,2025-02-01,13.68,65.64,29.12,53.94,34.42,13.4,1.39,13.4,64.76,3.31,,1.65,54.0,Moderate,6.4,82.3,0.193,3.04,156.42,59.2
Central,Belgorod,2025-03-01,,40.87,20.66,41.77,36.37,7.59,0.98,8.42,72.28,1.73,5.25,1.37,,,5.0,68.2,0.034,1.27,160.75,59.3
Central,Belgorod,2025-04-01,10.47,30.37,8.56,19.85,35.08,0.94,1.22,10.37,53.73,1.28,1.97,0.63,44.0,Good,11.1,66.2,0.11,0.68,160.78,59.1
Central,Belgorod,2025-05-01,10.99,23.35,12.47,12.32,31.56,4.53,0.7,6.0,41.53,1.51,3.03,0.78,46.0,Good,9.8,57.2,0.208,3.5,164.08,59.3
Central,Belgorod,2025-06-01,20.37,28.56,15.68,21.75,33.33,0.5,0.45,5.61,56.59,1.11,4.64,1.36,68.0,Moderate,11.6,55.8,0.059,1.22,156.37,59.3
Central,Belgorod,2025-07-01,17.18,40.89,15.67,14.47,17.89,2.61,0.65,3.64,35.14,0.49,2.17,0.13,62.0,Moderate,6.4,76.8,0.103,-0.84,160.06,59.3
Central,Belgorod,2025-08-01,21.15,18.8,10.03,23.19,16.26,6.8,0.82,10.4,29.09,1.36,5.03,0.5,70.0,Moderate,8.1,73.8,0.147,0.01,162.15,59.3
